time,open,high,low,close,volume,market_cap,Dividends,Stock Splits,roc_1d
2021-04-23,,,,0.0,523817,0.0,,,
2021-04-24,,,,0.0,51157783,0.0,,,
2021-04-25,,,,0.0,14962631,0.0,,,
2021-04-26,,,,0.0,30621745,0.0,,,
2021-04-27,,,,0.0,37492592,0.0,,,
2021-04-28,,,,0.0,84851089,0.0,,,
2021-04-29,,,,0.0,42143816,0.0,,,
2021-04-30,,,,0.0,16929070,0.0,,,
2021-05-01,,,,0.0,12133358,0.0,,,
2021-05-02,,,,0.0,19500754,0.0,,,
2021-05-03,,,,0.0,9215427,0.0,,,
2021-05-04,,,,0.0,4409334,0.0,,,
2021-05-05,,,,0.0,19738774,0.0,,,
2021-05-06,,,,0.0,12066365,0.0,,,
2021-05-07,,,,0.0,17266839,0.0,,,
2021-05-08,,,,0.0,43586678,0.0,,,
2021-05-09,,,,0.0,47400336,0.0,,,
2021-05-10,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,43631428,549652729.8929389,,,inf
2021-05-11,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,228067564,1099305459.7858777,,,99.99999999999996
2021-05-12,1.999999994950485e-06,1.999999994950485e-06,0.0,9.999999974752427e-07,331555664,549652729.8929389,,,-49.999999999999986
2021-05-13,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,99607877,549652729.8929389,,,0.0
2021-05-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,104618437,549652729.8929389,,,0.0
2021-05-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,52944541,549652729.8929389,,,0.0
2021-05-16,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,39393352,549652729.8929389,,,0.0
2021-05-17,,,,0.0,33964141,0.0,,,-100.0
2021-05-18,,,,0.0,27613659,0.0,,,
2021-05-19,,,,0.0,27140636,0.0,,,
2021-05-20,,,,0.0,36555179,0.0,,,
2021-05-21,,,,0.0,39452408,0.0,,,
2021-05-22,,,,0.0,16480899,0.0,,,
2021-05-23,,,,0.0,17897810,0.0,,,
2021-05-24,,,,0.0,15407290,0.0,,,
2021-05-25,,,,0.0,11557037,0.0,,,
