time,open,high,low,close,volume,market_cap,Dividends,Stock Splits,roc_1d
2024-11-08,0.0036770000588148,0.0046459999866783,0.0031459999736398,0.0040310001932084,822364,3896966.885502032,,,
2024-11-09,0.0040339999832212,0.0057620001025497,0.0036609999369829,0.0047249998897314,1151331,4567890.652872474,,,17.216563216550583
2024-11-10,0.0047249998897314,0.0062819998711347,0.0039049999322742,0.0048440000973641,372999,4682934.028284396,,,2.5185229716368163
2024-11-11,0.0048440000973641,0.0056489999406039,0.0037120000924915,0.003783999942243,607967,3658179.549211544,,,-21.88274429841377
2024-11-12,0.003783999942243,0.0046109999530017,0.0016580000519752,0.0017569999909028,1482768,1698578.629172907,,,-53.56765280864876
2024-11-13,0.0017569999909028,0.0279229991137981,0.0014280000468716,0.0258690007030963,9766047,25008840.056828585,,,1372.3392622104693
2024-11-14,0.0258690007030963,0.1573379933834076,0.0251899994909763,0.1028190031647682,61017952,99400206.23380548,,,297.46028207599704
2024-11-15,0.1044460013508796,0.1906069964170456,0.0148910004645586,0.1006480008363723,84404161,97301391.10688972,,,-2.1114796502324062
2024-11-16,0.1173290014266967,0.1311710029840469,0.0538240000605583,0.1013879999518394,43283470,98016784.78341062,,,0.7352347878922583
2024-11-17,0.1013860031962394,0.1349570006132125,0.0760200023651123,0.1120930016040802,19586876,108365838.3553536,,,10.558450366242367
2024-11-18,0.1127990037202835,0.1691109985113144,0.09111800044775,0.1276080012321472,21484690,123364954.42610464,,,13.841184914350846
2024-11-19,0.1286100000143051,0.1794749945402145,0.1000849977135658,0.1052090004086494,25936996,101710734.55666152,,,-17.55297521097369
2024-11-20,0.1040949970483779,0.1279920041561126,0.0465280003845691,0.0861639976501464,44864151,83298990.193755,,,-18.10206606329213
2024-11-21,0.0865439996123313,0.0936449989676475,0.0412460006773471,0.0643170028924942,29358319,62178421.83909486,,,-25.35513132336088
2024-11-22,0.064299002289772,0.0922240018844604,0.0477100014686584,0.0766369998455047,16856444,74088771.0959016,,,19.1551166860237
2024-11-23,0.0766440033912658,0.0897110030055046,0.0643730014562606,0.0844400003552436,9968071,81632316.90005222,,,10.181766673368276
2024-11-24,0.0844400003552436,0.0858480036258697,0.0626619979739189,0.0674050003290176,8128298,65163741.40641265,,,-20.174088056085793
2024-11-25,0.0674090012907981,0.0747779980301857,0.0481499992311,0.0618860013782978,9660444,59828252.66386388,,,-8.187818298020078
2024-11-26,0.0618860013782978,0.0697249993681907,0.0498949997127056,0.0554319992661476,7393211,53588850.20678025,,,-10.428856233089068
2024-11-27,0.0542020015418529,0.0713249966502189,0.0521400012075901,0.0595760010182857,7240421,57595061.27785711,,,7.475829497401598
2024-11-28,0.0595420002937316,0.0645430013537406,0.0537770017981529,0.0589039996266365,4369373,56945404.35780026,,,-1.1279733116745239
2024-11-29,0.0589039996266365,0.07549399882555,0.0581620000302791,0.0663509964942932,5827032,64144783.86628811,,,12.642599678900513
2024-11-30,0.0663509964942932,0.0952240005135536,0.0590489991009235,0.0894239991903305,10225776,86450594.61942261,,,34.77416152750894
2024-12-01,0.0894239991903305,0.1179469972848892,0.0883710011839866,0.0952590033411979,10061607,92091581.18920954,,,6.525098635376558
2024-12-02,0.0952590033411979,0.1009130030870437,0.0730549991130828,0.089647002518177,11292692,86666182.945476,,,-5.89130751549003
2024-12-03,0.089647002518177,0.1113350018858909,0.0805910006165504,0.1075360029935836,9985203,103960362.83285084,,,19.954934323408512
2024-12-04,0.1075360029935836,0.12567999958992,0.0962610021233558,0.1094179973006248,10902950,105779779.63803963,,,1.7501062478149754
2024-12-05,0.1092899963259697,0.1172090023756027,0.096900001168251,0.1003480032086372,7434135,97011368.59014988,,,-8.289307349565078
2024-12-06,0.1022809967398643,0.1088180020451545,0.0834280028939247,0.0968210026621818,8488209,93601643.04415722,,,-3.5147690374289553
2024-12-07,0.0968210026621818,0.1026889979839325,0.0855759978294372,0.088016003370285,5217788,85089415.55153595,,,-9.094100504844304
2024-12-08,0.0889530032873153,0.0976869985461235,0.0796070024371147,0.0940100029110908,5065311,90884110.81391512,,,6.810124649251481
2024-12-09,0.0940100029110908,0.0940100029110908,0.0663739964365959,0.0790970027446746,6074480,76466977.3417003,,,-15.863205727713936
2024-12-10,0.0787929967045784,0.0884720012545585,0.0699770003557205,0.0836559981107711,5447232,80874383.22641554,,,5.763802935508133
2024-12-11,0.0837379992008209,0.0962219983339309,0.077223002910614,0.0864889994263649,5201025,83613185.45521551,,,3.3864891694227905
2024-12-12,0.0864690020680427,0.0898609980940818,0.0761459991335868,0.0775519981980323,4871442,74973345.17409107,,,-10.333107432860755
2024-12-13,0.0773579999804496,0.0815280005335807,0.0642229989171028,0.0689319968223571,4909193,66639964.299889006,,,-11.115124788485353
2024-12-14,0.0689319968223571,0.0690070018172264,0.0576520003378391,0.0598439984023571,4480162,57854147.57928841,,,-13.184005743255112
2024-12-15,0.0598439984023571,0.0621070004999637,0.0539770014584064,0.0553620010614395,3593472,53521179.48668163,,,-7.489468385423037
2024-12-16,0.0553620010614395,0.0611220002174377,0.046263001859188,0.0469870008528232,5818511,45424653.335668765,,,-15.127705010738168
2024-12-17,0.0469870008528232,0.0578450001776218,0.0468310005962848,0.0508570000529289,4129672,49165972.612988696,,,8.236318832580203
2024-12-18,0.0507169999182224,0.0520289987325668,0.0416949987411499,0.0422569997608661,3000193,40851927.77370995,,,-16.910160416682917
2024-12-19,0.0422569997608661,0.0442730002105236,0.0297510009258985,0.0351490005850791,4667225,33980274.06928029,,,-16.820879892115926
2024-12-20,0.0351479984819889,0.0381399989128112,0.0284490007907152,0.0322440005838871,3161925,31171867.156747177,,,-8.264815365547518
2024-12-21,0.0321430005133152,0.0392570011317729,0.0321430005133152,0.0325950011610984,2055485,31511196.7426126,,,1.08857638895683
2024-12-22,0.0325950011610984,0.0356849990785121,0.030324999243021,0.031259998679161,2394505,30220583.938143283,,,-4.095727671059879
2024-12-23,0.031259998679161,0.0320539996027946,0.0272560007870197,0.0308989994227886,2220208,29871588.135527216,,,-1.154828124202889
2024-12-24,0.0308989994227886,0.0436520017683506,0.0287449993193149,0.042918000370264,4554218,41490949.69448787,,,38.89770274765323
2024-12-25,0.0429169982671737,0.0429169982671737,0.0356729999184608,0.0360630005598068,2146135,34863882.966363534,,,-15.97231872714816
2024-12-26,0.0360619984567165,0.0374579988420009,0.0308989994227886,0.0324570015072822,1790231,31377785.66462788,,,-9.999165339956729
2024-12-27,0.0324559994041919,0.0381760001182556,0.0316179990768432,0.037246998399496,1688237,36008512.12851262,,,14.757977230703512
2024-12-28,0.037246998399496,0.0423489995300769,0.036761000752449,0.0388559997081756,1662235,37564013.12531684,,,4.319814690628521
2024-12-29,0.0388559997081756,0.0388870015740394,0.0321939997375011,0.03235400095582,1295285,31278209.94669246,,,-16.73357731415549
2024-12-30,0.03235400095582,0.0370739996433258,0.030774999409914,0.0335969999432563,1978088,32479878.43108325,,,3.8418710227944963
2024-12-31,0.0335969999432563,0.0370209999382495,0.0292440000921487,0.0313079990446567,2029839,30266988.261106063,,,-6.813110999391658
2025-01-01,0.0313079990446567,0.032999001443386,0.0286870002746582,0.0291259996592998,1838210,28157541.736333366,,,-6.969462923020309
2025-01-02,0.0291419997811317,0.0347459986805915,0.0291409995406866,0.0316709987819194,1840888,30617918.027356666,,,8.73789450109741
2025-01-03,0.0316709987819194,0.0400750003755092,0.0301510002464056,0.0372980013489723,2427726,36057819.19763822,,,17.767051193425853
2025-01-04,0.0372980013489723,0.0413810014724731,0.0352669991552829,0.0379119999706745,2483882,36651401.97655961,,,1.646197113774095
2025-01-05,0.0379119999706745,0.0380819998681545,0.0309469997882843,0.0333710014820098,1888397,32261394.56171112,,,-11.977733942227353
2025-01-06,0.0333710014820098,0.0340000018477439,0.0305160004645586,0.0305449999868869,1662127,29529359.404921014,,,-8.468434777560951
2025-01-07,0.0305449999868869,0.0320959985256195,0.0262109991163015,0.0262109991163015,1625463,25339466.806338582,,,-14.188904476824371
2025-01-08,0.0262109991163015,0.0268549993634223,0.0202699992805719,0.0213929992169141,2166302,20681668.45299236,,,-18.381595749209435
2025-01-09,0.0213929992169141,0.0225239992141723,0.0169649999588727,0.0178100001066923,1917212,17217806.33092082,,,-16.748465579286087
2025-01-10,0.0178100001066923,0.0211430005729198,0.0175570007413625,0.0211430005729198,2234346,20439982.42213884,,,18.714208008202583
2025-01-11,0.0210810005664825,0.0246440004557371,0.0201229993253946,0.0210820008069276,1620432,20381010.936973613,,,-0.28851044950700677
2025-01-12,0.0210740007460117,0.0217220000922679,0.0185739994049072,0.0189800001680851,1153248,18348903.1497612,,,-9.970593674162942
2025-01-13,0.0189800001680851,0.0217109993100166,0.0161780007183551,0.020924000069499,1636487,20228263.824065555,,,10.242359769220343
2025-01-14,0.0209970008581876,0.0231860000640153,0.0204390008002519,0.0227109994739294,1308366,21955844.367279127,,,8.540429165049158
2025-01-15,0.0227109994739294,0.0247569996863603,0.0213300008326768,0.023344999179244,1349549,22568763.18112385,,,2.791597551848768
2025-01-16,0.023344999179244,0.0282550007104873,0.0209999997168779,0.0281980000436306,1993562,27260398.6952304,,,20.78818177342836
2025-01-17,0.0281980000436306,0.0366959981620311,0.0280009992420673,0.0350069999694824,2677980,33842995.0640265,,,24.14710233107411
2025-01-18,0.0350069999694824,0.0488989986479282,0.0284540001302957,0.0459140017628669,4794485,44387332.14457122,,,31.156630967785738
2025-01-19,0.0459109991788864,0.0566230006515979,0.0305759999901056,0.0320289991796016,5852631,30964014.685231943,,,-30.241325195258494
2025-01-20,0.0320300012826919,0.0476949997246265,0.025747999548912,0.0341169983148574,5691903,32982586.527713623,,,6.519089539911671
2025-01-21,0.0341159999370574,0.0416890010237693,0.0318010002374649,0.0346649996936321,3151138,33512366.513805475,,,1.6062414803240443
2025-01-22,0.0346649996936321,0.0421970002353191,0.0320909991860389,0.0376840010285377,2889423,36430984.143552944,,,8.709076479409838
2025-01-23,0.0376840010285377,0.0377530008554458,0.0286870002746582,0.0342699997127056,2574742,33130500.53224635,,,-9.059551063186511
2025-01-24,0.0342699997127056,0.0360120013356208,0.0269159991294145,0.0269620008766651,1934869,26065497.28284947,,,-21.324770637015956
2025-01-25,0.0269620008766651,0.0327129997313022,0.0248750001192092,0.0288670007139444,1896961,27907154.66983545,,,7.065498758766187
2025-01-26,0.0288679990917444,0.0311210006475448,0.0208279993385076,0.0209190007299184,1532277,20223430.71569023,,,-27.53316862664802
2025-01-27,0.0209190007299184,0.0230410005897283,0.0178830008953809,0.022546999156475,2040568,21797297.16417848,,,7.782390983084753
2025-01-28,0.022546999156475,0.025892000645399,0.0191140007227659,0.020193999633193,1720022,19522536.36429528,,,-10.435976455014295
2025-01-29,0.020193999633193,0.0246440004557371,0.0197129994630813,0.0227359998971223,1691097,21980013.510577783,,,12.587898930883412
2025-01-30,0.0227370001375675,0.0263420008122921,0.0223810002207756,0.0234489999711513,1682094,22669305.880876537,,,3.135996117413975
2025-01-31,0.0235259998589754,0.0235270000994205,0.0205370001494884,0.0214210003614425,1175716,20708738.541742824,,,-8.648554787853623
2025-02-01,0.0214210003614425,0.0255999993532896,0.0184339992702007,0.0201960001140832,2099702,19524470.32792981,,,-5.71868832776028
2025-02-02,0.0201960001140832,0.0209369994699955,0.0143280001357197,0.0160319991409778,1661860,15498925.022640623,,,-20.617948849196786
2025-02-03,0.0160319991409778,0.0185010004788637,0.0141589995473623,0.0168520007282495,1359099,16291661.03814387,,,5.11478063378743
2025-02-04,0.0168510004878044,0.0192060004919767,0.0153430001810193,0.0163400005549192,1320528,15796685.19462961,,,-3.03821594590854
2025-02-05,0.0163739994168281,0.0169690009206533,0.0149769997224211,0.0152489999309182,1140598,14741961.031887751,,,-6.676870177171157
2025-02-06,0.0152489999309182,0.0158600006252527,0.0129300002008676,0.0132980002090334,991426,12855833.285573533,,,-12.794279826371024
2025-02-07,0.0132980002090334,0.0148499999195337,0.0108120003715157,0.0114500001072883,1542954,11069280.356839215,,,-13.896827137134082
2025-02-08,0.0114500001072883,0.0134610002860426,0.0112749999389052,0.0133809996768832,877622,12936072.968585612,,,16.864624903940005
2025-02-09,0.0133809996768832,0.0136759998276829,0.0100819999352097,0.0110740000382065,1084620,10705782.528030649,,,-17.240861627567604
