asset,cci_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
sol,8,1.1623829836982824,1.397466465781067,1.751706747148089,1.4244937887474869,1.5083620044654324,0.6930660741986016,0.5155339805825243,1.4244937887474869,0.7480641278364434,1030
bnb,8,0.5396686107548354,0.9698660347653764,1.2687176784718899,1.330179335239859,0.8052711649129848,0.7648157883166692,0.5158629441624365,1.330179335239859,0.6350197643023942,1576
btc,8,0.43136129604146567,1.1137088926970995,1.2605157648723282,1.3317756871560056,0.579626608177077,0.7474448382105234,0.5262677021470992,1.3317756871560056,0.3890055284754378,2189
xrp,9,0.49735985611124,0.8735255772264777,1.183162693031172,1.3425283254305704,0.8257258137614056,0.7827024085324117,0.4782608695652174,1.3425283254305704,0.7398725350097827,1357
eth,9,0.4466659097176391,0.9844899233236419,1.1287122228555546,1.2822843038820064,0.870509538807866,0.566576791398703,0.5043189368770764,1.2822843038820064,0.5009807512449135,1505
algo,9,1.0966812736809937,0.4391483330033154,0.5580014354597225,1.1228902977861686,0.36997293248599583,0.7878302442335463,0.4850467289719626,1.1228902977861686,0.6637298695109538,1070
vet,9,0.43565426641699334,0.8653989386162122,1.0980884584158574,1.2515177782076368,0.8390464809105476,0.6822051039757504,0.5027494108405341,1.2515177782076368,0.6614311229285165,1273
atom,9,1.158017589247442,0.44276408596554645,0.5167661536308275,1.120691452897009,0.35069329224008033,0.8225363746998946,0.4922145328719723,1.120691452897009,0.6514936472358163,1156
pol,9,0.0637255672303425,0.2948833823358676,0.3173501452303704,1.0764097804295936,0.2841002249359196,0.5234495158476469,0.4952076677316294,1.0764097804295936,0.5043082591393159,313
tao,9,0.46238798533784076,0.8893475991605431,1.1315587075453561,1.2429747853700877,1.0220638305507044,0.5967259864224725,0.49333333333333335,1.2429747853700877,0.6857746600404366,450
ltc,9,0.2922986041416682,0.7028604607857536,0.8504263213522731,1.2294745140945418,0.6311996234399117,0.7098478469755823,0.4861386138613861,1.2294745140945418,0.637474603721088,2020
xlm,9,0.6744825715493852,1.0439872793864176,1.4584378493008134,1.397132597689567,0.9938855691751526,0.7459329722808619,0.506859756097561,1.397132597689567,0.7101351054369208,1312
avax,9,0.5265860759585974,0.9106393047153387,1.1720686264499476,1.2860331460695469,0.9374596846362799,0.7429743789086334,0.5045351473922902,1.2860331460695469,0.7648566488816869,882
link,9,0.576900116574343,0.9763398429005942,1.3305844597269962,1.283406104815762,1.0881705924005105,0.6411364009344512,0.50033760972316,1.283406104815762,0.714572679059873,1481
ada,9,0.7098333610643872,0.9805298002468535,1.5352687023814948,1.3915429060079667,1.1385515304384115,0.7203179991064088,0.5,1.3915429060079667,0.836404115487838,1370
trx,9,0.5319890907673848,0.8239620445901813,1.3329570660354735,1.3828642608602586,1.0753356884459344,0.6674965058069181,0.511326860841424,1.3828642608602586,0.8711357753913843,1545
sui,9,1.0437656859852282,0.6288698847334094,0.8706781597302594,1.1673130745390197,0.611050105427324,0.6207440863554121,0.4877450980392157,1.1673130745390197,0.6031545612518204,408
sol,9,1.2859349962916973,1.468773644700479,1.84810701759635,1.4492693981410643,1.6314728469725992,0.6762779100404152,0.5163776493256262,1.4492693981410643,0.7511906625090027,1038
bnb,9,0.5312091356176876,0.9616938313357122,1.2506853332858214,1.3277219897562424,0.7875410637597764,0.7744708329171747,0.5150737652341244,1.3277219897562424,0.6342222064161246,1559
btc,9,0.40542155791556955,1.0716132845184134,1.2082785142676267,1.3168896560992522,0.5787747490883809,0.7151182664879799,0.526124488868696,1.3168896560992522,0.3862329827696221,2201
xrp,10,0.6131807979905259,0.9746794961963201,1.3220997701276203,1.3918838526010813,1.0860812070132366,0.6624990845564043,0.48814814814814816,1.3918838526010813,0.7382199053208116,1350
eth,10,0.43074125099639526,0.9644146017921005,1.1266395495286086,1.2755000432283357,0.8341865660931489,0.5760661858198917,0.5029781601588352,1.2755000432283357,0.4982780979243874,1511
algo,10,0.6667701792495195,0.4010586373333815,0.5012582914583882,1.112020258517104,0.33091124236716646,0.8020580385347547,0.48872180451127817,1.112020258517104,0.6617736093325557,1064
vet,10,0.4142218570940388,0.8433397024294674,1.0655164012903728,1.2461746642623763,0.8172047077774666,0.6800245179143574,0.5007974481658692,1.2461746642623763,0.6589506409372354,1254
atom,10,1.4418364349515365,0.4630207057239773,0.5449499039391186,1.1270766727880792,0.3986237188025281,0.7596867600458862,0.485589519650655,1.1270766727880792,0.6540294152526775,1145
pol,10,0.16023028147712481,0.35457982963861034,0.3721901952546834,1.0938001600349794,0.33806647695399344,0.5228560905287931,0.5049180327868853,1.0938001600349794,0.49850584185559066,305
tao,10,0.4517455446790497,0.8801834805624981,1.1056604244444077,1.2437929890417299,1.026872642003636,0.5835270815444406,0.49430523917995445,1.2437929890417299,0.6807762348860212,439
ltc,10,0.33784125641194507,0.7565159734854827,0.9209615559007727,1.2509214717647512,0.6685923454494932,0.7218214929369274,0.48598598598598597,1.2509214717647512,0.6379301189571196,1998
xlm,10,0.6616845088178149,1.033666521032495,1.4870084845078935,1.393426804614596,0.9926293862078122,0.7362027511230467,0.5049808429118774,1.393426804614596,0.7069750931294789,1305
avax,10,0.6902601838751685,1.0443035554788305,1.3426289824952462,1.3379462772780095,1.1665263242921702,0.6832958224599223,0.5138888888888888,1.3379462772780095,0.763267117110305,864
link,10,0.7379858629631497,1.1089841686368995,1.5301957131116333,1.327283771745221,1.2328163271733308,0.6477375076236711,0.5043712172158709,1.327283771745221,0.7200656219489079,1487
ada,10,0.7565543102931864,1.0122984303311169,1.5968354611202953,1.404613572632019,1.303206008099224,0.6509304242307279,0.5014492753623189,1.404613572632019,0.8379904722707003,1380
trx,10,0.6312360180970158,0.8948341430628344,1.4547095510489934,1.422487839114707,1.2376895014206957,0.6351927385267438,0.5161082474226805,1.422487839114707,0.8785665924215943,1552
sui,10,0.9878855908020094,0.616119827421545,0.854428804146859,1.164241540236617,0.5579148175436913,0.6663456471709257,0.4801980198019802,1.164241540236617,0.6033957902608471,404
sol,10,1.333402887039302,1.4994505233364854,1.8846970459893235,1.4656033576115004,1.7113752484609976,0.6551193602179438,0.5161290322580645,1.4656033576115004,0.7477106049287094,1023
