asset,chop_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
link,68,-0.1899468610091951,-3.743430516867422,-4.780625507692289,0.5364471126164378,-12.889953063533012,0.21916087600949027,0.4117647058823529,0.5364471126164378,0.7546482811410915,17
ada,68,-0.1923840614757617,-4.120941270300697,-5.0,0.5101363996602978,-13.991737243642808,0.20803097445294053,0.4117647058823529,0.5101363996602978,0.7063227894223605,17
trx,68,-0.011897630041108442,-0.46114177765747455,-0.4516759423999187,0.9106376219692294,-2.3516751501276447,0.05772725520620376,0.5294117647058824,0.9106376219692294,0.2943904849461337,17
sui,68,-0.2773829635492179,-5.7893463618675876,-5.0,0.36944347953822637,-15.258954873755926,0.2937173107037678,0.4117647058823529,0.36944347953822637,0.7741494306144691,17
sol,68,0.06808195810866824,1.6328180830851515,3.2070479175890227,1.3066803597374717,6.948662517327493,0.17985189310104763,0.5294117647058824,1.3066803597374717,0.7653823296103631,17
bnb,68,-0.14318407824119161,-4.600520418020054,-5.0,0.41374551609992616,-13.260968021833948,0.16382800416178314,0.35294117647058826,0.41374551609992616,0.47223307949262,17
btc,68,0.07257055164070936,2.781274411100204,4.09898121498637,1.5337701790907354,20.171091914084197,0.055371644174537785,0.5882352941176471,1.5337701790907354,0.40158084352300416,17
xrp,69,-0.103340600694386,-2.0562947424157696,-3.1371218682860866,0.7144115048259004,-11.070438343795054,0.12592600553197061,0.35294117647058826,0.7144115048259004,0.6779456521317149,17
eth,69,0.2158252565682537,4.818123025008762,5.0,2.1620892883711553,31.80457184105935,0.09765594094811383,0.47058823529411764,2.1620892883711553,0.6446297393132437,17
algo,69,-0.09870351263972232,-1.3492848421479426,-2.562724074775399,0.7834057024547608,-7.526008120933126,0.15725050480045205,0.35294117647058826,0.7834057024547608,0.8771080347015963,17
vet,69,-0.026389145267942338,-0.029423648627637813,-0.06220502595610692,0.9947370762627736,-0.1882947596031586,0.14067182648530407,0.47058823529411764,0.9947370762627736,0.9002203664880449,17
atom,69,-0.05498223878289743,-0.2963228591282322,-0.3319752403706063,0.9407791088406524,-1.6726046808177621,0.18429181447980825,0.5294117647058824,0.9407791088406524,1.0402415542363994,17
pol,69,-0.18537670452164567,-3.1483658611107477,-4.25453080098586,0.5687607182980237,-12.065585766083371,0.22172589984343932,0.4117647058823529,0.5687607182980237,0.8497274392942363,17
tao,69,-0.3241174420183932,-7.479448445168392,-5.0,0.27950221062914354,-15.340805333616592,0.3569167461351494,0.4117647058823529,0.27950221062914354,0.7320580338118644,17
ltc,69,0.012572081143612746,0.6489498794032464,1.203633159254122,1.118328274793608,4.192120109494174,0.15698124978933023,0.47058823529411764,1.118328274793608,1.0140756242385507,17
xlm,69,-0.15482348001731072,-3.4668750346870496,-5.0,0.5585969553602914,-13.642711783889443,0.16695285052899692,0.47058823529411764,0.5585969553602914,0.6569863633609404,17
avax,69,-0.1448519097981411,-2.519853626538406,-3.810635350790121,0.6642236250950062,-10.092964056954163,0.1987723754386091,0.47058823529411764,0.6642236250950062,0.7961583243123757,17
link,69,-0.1899468610091951,-3.743430516867422,-4.780625507692289,0.5364471126164378,-12.889953063533012,0.21916087600949027,0.4117647058823529,0.5364471126164378,0.7546482811410915,17
ada,69,-0.1923840614757617,-4.120941270300697,-5.0,0.5101363996602978,-13.991737243642808,0.20803097445294053,0.4117647058823529,0.5101363996602978,0.7063227894223605,17
trx,69,-0.011897630041108442,-0.46114177765747455,-0.4516759423999187,0.9106376219692294,-2.3516751501276447,0.05772725520620376,0.5294117647058824,0.9106376219692294,0.2943904849461337,17
sui,69,-0.2773829635492179,-5.7893463618675876,-5.0,0.36944347953822637,-15.258954873755926,0.2937173107037678,0.4117647058823529,0.36944347953822637,0.7741494306144691,17
sol,69,0.06808195810866824,1.6328180830851515,3.2070479175890227,1.3066803597374717,6.948662517327493,0.17985189310104763,0.5294117647058824,1.3066803597374717,0.7653823296103631,17
bnb,69,-0.14318407824119161,-4.600520418020054,-5.0,0.41374551609992616,-13.260968021833948,0.16382800416178314,0.35294117647058826,0.41374551609992616,0.47223307949262,17
btc,69,0.04672779067556165,1.8646142063918019,2.9483477221418557,1.3322959218155543,11.842233860447305,0.0637877768995594,0.5294117647058824,1.3322959218155543,0.4051185327737949,17
xrp,70,-0.103340600694386,-2.0562947424157696,-3.1371218682860866,0.7144115048259004,-11.070438343795054,0.12592600553197061,0.35294117647058826,0.7144115048259004,0.6779456521317149,17
eth,70,0.36394632503222923,8.028399959391223,5.0,3.6400686142601835,112.02084680509473,0.04292544572498366,0.6470588235294118,3.6400686142601835,0.598941856898149,17
algo,70,-0.09870351263972232,-1.3492848421479426,-2.562724074775399,0.7834057024547608,-7.526008120933126,0.15725050480045205,0.35294117647058826,0.7834057024547608,0.8771080347015963,17
vet,70,-0.026389145267942338,-0.029423648627637813,-0.06220502595610692,0.9947370762627736,-0.1882947596031586,0.14067182648530407,0.47058823529411764,0.9947370762627736,0.9002203664880449,17
atom,70,-0.05498223878289743,-0.2963228591282322,-0.3319752403706063,0.9407791088406524,-1.6726046808177621,0.18429181447980825,0.5294117647058824,0.9407791088406524,1.0402415542363994,17
pol,70,-0.18537670452164567,-3.1483658611107477,-4.25453080098586,0.5687607182980237,-12.065585766083371,0.22172589984343932,0.4117647058823529,0.5687607182980237,0.8497274392942363,17
tao,70,-0.3241174420183932,-7.479448445168392,-5.0,0.27950221062914354,-15.340805333616592,0.3569167461351494,0.4117647058823529,0.27950221062914354,0.7320580338118644,17
ltc,70,0.012572081143612746,0.6489498794032464,1.203633159254122,1.118328274793608,4.192120109494174,0.15698124978933023,0.47058823529411764,1.118328274793608,1.0140756242385507,17
xlm,70,-0.15482348001731072,-3.4668750346870496,-5.0,0.5585969553602914,-13.642711783889443,0.16695285052899692,0.47058823529411764,0.5585969553602914,0.6569863633609404,17
avax,70,-0.1448519097981411,-2.519853626538406,-3.810635350790121,0.6642236250950062,-10.092964056954163,0.1987723754386091,0.47058823529411764,0.6642236250950062,0.7961583243123757,17
link,70,-0.1899468610091951,-3.743430516867422,-4.780625507692289,0.5364471126164378,-12.889953063533012,0.21916087600949027,0.4117647058823529,0.5364471126164378,0.7546482811410915,17
