total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,omega_ratio,calmar_ratio,num_trades,avg_return,std_return,asset,fast_period,slow_period,signal_period,my_type,macd_combination
-0.12269066888309421,-0.12269066888309421,0.6124725015104475,-0.20032028961385356,-0.17857590834893466,0.1566961718632467,0.1,0.27291405776812605,-0.7829844687601554,10,-0.012303649391629512,0.0385821410443399,doge,2,5,9,0,2-5-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,5,9,0,2-5-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,5,9,0,2-5-9
-0.12269066888309421,-0.12269066888309421,0.6124725015104475,-0.20032028961385356,-0.17857590834893466,0.1566961718632467,0.1,0.27291405776812605,-0.7829844687601554,10,-0.012303649391629512,0.0385821410443399,doge,2,6,9,0,2-6-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,6,9,0,2-6-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,6,9,0,2-6-9
-0.12269066888309421,-0.12269066888309421,0.6124725015104475,-0.20032028961385356,-0.17857590834893466,0.1566961718632467,0.1,0.27291405776812605,-0.7829844687601554,10,-0.012303649391629512,0.0385821410443399,doge,2,7,9,0,2-7-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,7,9,0,2-7-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,7,9,0,2-7-9
-0.12269066888309421,-0.12269066888309421,0.6124725015104475,-0.20032028961385356,-0.17857590834893466,0.1566961718632467,0.1,0.27291405776812605,-0.7829844687601554,10,-0.012303649391629512,0.0385821410443399,doge,2,8,9,0,2-8-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,8,9,0,2-8-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,8,9,0,2-8-9
-0.12888029951206914,-0.12888029951206914,0.6095209910001149,-0.21144521913937636,-0.19966404435670793,0.16264588540102679,0.1,0.2619908568823263,-0.7923981550120144,10,-0.013009173704370481,0.03839621335857006,doge,2,9,9,0,2-9-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,9,9,0,2-9-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,9,9,0,2-9-9
-0.12888029951206914,-0.12888029951206914,0.6095209910001149,-0.21144521913937636,-0.19966404435670793,0.16264588540102679,0.1,0.2619908568823263,-0.7923981550120144,10,-0.013009173704370481,0.03839621335857006,doge,2,10,9,0,2-10-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,10,9,0,2-10-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,10,9,0,2-10-9
-0.12888029951206914,-0.12888029951206914,0.6095209910001149,-0.21144521913937636,-0.19966404435670793,0.16264588540102679,0.1,0.2619908568823263,-0.7923981550120144,10,-0.013009173704370481,0.03839621335857006,doge,2,11,9,0,2-11-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,11,9,0,2-11-9
-0.2939810667207302,-0.2939810667207302,1.0754511853531585,-0.273356030217394,-0.7828602536143429,0.2939810667207302,0.0,0.0,-1.0,10,-0.031916838664022465,0.06774705675319255,pepe,2,11,9,0,2-11-9
-0.12888029951206914,-0.12888029951206914,0.6095209910001149,-0.21144521913937636,-0.19966404435670793,0.16264588540102679,0.1,0.2619908568823263,-0.7923981550120144,10,-0.013009173704370481,0.03839621335857006,doge,2,12,9,0,2-12-9
-0.07891412878227011,-0.07891412878227011,0.8198309828950936,-0.09625658267219701,-0.5860970346028946,0.1626492356771948,0.1,0.5888477374134673,-0.4851798316402094,10,-0.006982321337751229,0.05164449756776347,shib,2,12,9,0,2-12-9
