asset,ema_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,5,0.12110836306977779,4.565138247762546,5.0,2.3760876008544374,53.46077592697166,0.05792289389868931,0.5,2.3760876008544374,0.6783152412256698,10
shib,5,-0.11725214132800554,-3.4988424361642427,-5.0,0.41335957832343134,-15.52250582646938,0.18181824195006246,0.3333333333333333,0.41335957832343134,0.8066309848243137,3
pepe,5,-0.2155345245241499,-3.473858400114661,-5.0,0.41651990619592416,-16.081508521642228,0.31359269781070614,0.3333333333333333,0.41651990619592416,1.4517124940962454,3
doge,6,0.12110836306977779,4.565138247762546,5.0,2.3760876008544374,53.46077592697166,0.05792289389868931,0.5,2.3760876008544374,0.6783152412256698,10
shib,6,-0.11725214132800554,-3.4988424361642427,-5.0,0.41335957832343134,-15.52250582646938,0.18181824195006246,0.3333333333333333,0.41335957832343134,0.8066309848243137,3
pepe,6,-0.2155345245241499,-3.473858400114661,-5.0,0.41651990619592416,-16.081508521642228,0.31359269781070614,0.3333333333333333,0.41651990619592416,1.4517124940962454,3
doge,7,0.12110836306977779,4.565138247762546,5.0,2.3760876008544374,53.46077592697166,0.05792289389868931,0.5,2.3760876008544374,0.6783152412256698,10
shib,7,-0.11725214132800554,-3.4988424361642427,-5.0,0.41335957832343134,-15.52250582646938,0.18181824195006246,0.3333333333333333,0.41335957832343134,0.8066309848243137,3
pepe,7,-0.2155345245241499,-3.473858400114661,-5.0,0.41651990619592416,-16.081508521642228,0.31359269781070614,0.3333333333333333,0.41651990619592416,1.4517124940962454,3
doge,8,0.12110836306977779,4.565138247762546,5.0,2.3760876008544374,53.46077592697166,0.05792289389868931,0.5,2.3760876008544374,0.6783152412256698,10
shib,8,-0.11725214132800554,-3.4988424361642427,-5.0,0.41335957832343134,-15.52250582646938,0.18181824195006246,0.3333333333333333,0.41335957832343134,0.8066309848243137,3
pepe,8,-0.2155345245241499,-3.473858400114661,-5.0,0.41651990619592416,-16.081508521642228,0.31359269781070614,0.3333333333333333,0.41651990619592416,1.4517124940962454,3
