ema_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
33,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
34,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
35,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
36,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
37,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
38,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
39,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
40,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
41,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
42,3.625,2.1655,3,0.1141,0.0519,0.1043,0.0604,1.6667,2.8868,0.6778,0.0192,2.2843,0.8345,42.5191,38.535,1.7894700000000001,EMA,single
