total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
-0.019934443271299895,-1.3898008823927432,-2.031128187442492,0.7174219547816,-7.91385608633846,0.05792289389868931,0.25,0.7174219547816,0.3298267055560424,4,doge,2,5,2-5,2.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,5,2-5,2.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,5,2-5,2.5
-0.019934443271299895,-1.3898008823927432,-2.031128187442492,0.7174219547816,-7.91385608633846,0.05792289389868931,0.25,0.7174219547816,0.3298267055560424,4,doge,2,6,2-6,3.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,6,2-6,3.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,6,2-6,3.0
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,7,2-7,3.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,7,2-7,3.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,7,2-7,3.5
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,8,2-8,4.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,8,2-8,4.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,8,2-8,4.0
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,9,2-9,4.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,9,2-9,4.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,9,2-9,4.5
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,10,2-10,5.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,10,2-10,5.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,10,2-10,5.0
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,11,2-11,5.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,11,2-11,5.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,11,2-11,5.5
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,12,2-12,6.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,12,2-12,6.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,12,2-12,6.0
-0.021369288362714234,-1.4985433460414255,-2.3262566684140316,0.7015557159552409,-7.667406280647021,0.06456947692700049,0.25,0.7015557159552409,0.33037443610556094,4,doge,2,13,2-13,6.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,13,2-13,6.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,13,2-13,6.5
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,14,2-14,7.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,14,2-14,7.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,14,2-14,7.0
-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5,doge,2,15,2-15,7.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,15,2-15,7.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,15,2-15,7.5
-0.021369288362714234,-1.4985433460414255,-2.3262566684140316,0.7015557159552409,-7.667406280647021,0.06456947692700049,0.25,0.7015557159552409,0.33037443610556094,4,doge,2,16,2-16,8.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,16,2-16,8.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,16,2-16,8.0
-0.05792289389868921,-7.457385787871177,-5.0,0.0,-25.5698266121725,0.05792289389868921,0.0,0.0,0.19860556983301028,2,doge,2,17,2-17,8.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,17,2-17,8.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,17,2-17,8.5
-0.06456947692700044,-8.467984194128714,-5.0,0.0,-25.691248553103836,0.06456947692700044,0.0,0.0,0.19589909979114642,3,doge,2,18,2-18,9.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,18,2-18,9.0
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,18,2-18,9.0
-0.039883819989696256,-6.096941298222285,-3.463068750475682,0.0,-25.347381423537435,0.039883819989696256,0.0,0.0,0.16581271632077313,2,doge,2,19,2-19,9.5
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,2,19,2-19,9.5
-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1,pepe,2,19,2-19,9.5
-0.03306183615459579,-5.0199601592044525,0.0,0.0,-25.199999999999996,0.03306183615459579,0.0,0.0,0.16596910028621625,1,doge,2,20,2-20,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,2,20,2-20,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,2,20,2-20,10.0
