time,open,high,low,close,volume,market_cap,roc_1d,Dividends,Stock Splits
2020-01-17,0.2355200052261352,0.2725720107555389,0.2339989989995956,0.2579779922962188,14201,3870521.515619368,,,
2020-01-18,0.2579079866409302,0.2614690065383911,0.2395270019769668,0.2456469982862472,11754,3685515.898668265,-4.779862770547016,,
2020-01-19,0.2455520033836364,0.2676880061626434,0.2273460030555725,0.2366500049829483,22695,3550531.2984457896,-3.6625700155370478,,
2020-01-20,0.2366500049829483,0.2540389895439148,0.2279469966888427,0.2517639994621277,13226,3777291.10961389,6.38664447958428,,
2020-01-21,0.2516629993915558,0.3061079978942871,0.2497359961271286,0.273499995470047,10662,4103402.804116373,8.633480582750686,,
2020-01-22,0.2737709879875183,0.2738290131092071,0.2443200051784515,0.25900998711586,23309,3886004.8447121927,-5.297992173376076,,
2020-01-23,0.2590489983558655,0.2597779929637909,0.2333379983901977,0.2350469976663589,14248,3526480.896885062,-9.251762727891267,,
2020-01-24,0.2350469976663589,0.2660390138626098,0.2235070019960403,0.2489009946584701,36026,3734336.5862716255,5.894139099694629,,
2020-01-25,0.2478320002555847,0.2526420056819916,0.2386119961738586,0.2510930001735687,27923,3767223.9051976665,0.8806736662930525,,
2020-01-26,0.2510670125484466,0.2582600116729736,0.2355410009622573,0.2576839923858642,21907,3866110.546418122,2.6249207296656696,,
2020-01-27,0.2578420042991638,0.2684299945831299,0.2498500049114227,0.2665849924087524,11677,3999654.930543566,3.4542308742095074,,
2020-01-28,0.2664740085601806,0.3247320055961609,0.2543579936027527,0.2602899968624115,10908,3905209.216450001,-2.3613465594825467,,
2020-01-29,0.2603949904441833,0.2609870135784149,0.245387002825737,0.2551630139350891,23132,3828287.547458839,-1.9697195394076106,,
2020-01-30,0.2549740076065063,0.2554070055484772,0.2426829934120178,0.2483150064945221,16365,3725544.82936139,-2.6837774546388915,,
2020-01-31,0.2483090013265609,0.2492959946393966,0.2387450039386749,0.2420720010995865,17255,3631879.139167629,-2.5141474464505764,,
2020-02-01,0.2413509935140609,0.2543410062789917,0.2406580001115799,0.2489430010318756,16877,3734966.820543208,2.8384116713532803,,
2020-02-02,0.2489169985055923,0.2522900104522705,0.2449100017547607,0.2470880001783371,11470,3707135.6840528175,-0.745150836074715,,
2020-02-03,0.2470880001783371,0.2915869951248169,0.2466129958629608,0.2887009978294372,6541,4331468.020716103,16.841367294674647,,
2020-02-04,0.2886959910392761,0.2898789942264557,0.2458049952983856,0.2556230127811432,14765,3835189.048687548,-11.457523630672139,,
2020-02-05,0.2556230127811432,0.2802599966526031,0.2426259964704513,0.2678990066051483,10927,4019369.4812837695,4.802382105759584,,
2020-02-06,0.2678990066051483,0.2683449983596802,0.2522270083427429,0.258197009563446,24263,3873807.497642677,-3.6215128845184297,,
2020-02-07,0.2582400143146515,0.2674129903316498,0.2497889995574951,0.2663100063800812,16120,3995529.232335773,3.142173036919549,,
2020-02-08,0.266288012266159,0.3228139877319336,0.2481800019741058,0.3223330080509186,5237,4836059.199277972,21.036761792150106,,
2020-02-09,0.3223380148410797,0.3850690126419067,0.2703019976615906,0.2748909890651703,42255,4124272.299960156,-14.71832477617493,,
2020-02-10,0.2748909890651703,0.2897520065307617,0.2579370141029358,0.2749600112438202,41050,4125307.860494376,0.02510892731866221,,
