time,open,high,low,close,volume,market_cap,roc_1d,Dividends,Stock Splits
2019-08-26,0.9065560102462769,0.9252049922943116,0.9012569785118104,0.9081649780273438,7398746,72901355.354724,,,
2019-08-27,0.9085180163383484,0.914156973361969,0.8670920133590698,0.8761190176010132,7591640,70328921.92550516,-3.5286496618641583,,
2019-08-28,0.8748310208320618,0.8885499835014343,0.7521989941596985,0.761775016784668,19990022,61150157.23200224,-13.051194931191157,,
2019-08-29,0.7619379758834839,0.7619379758834839,0.6993089914321899,0.7440940141677856,11728736,59730845.668589,-2.3210268422179325,,
2019-08-30,0.7440940141677856,0.7642650008201599,0.7359039783477783,0.7496389746665955,4544460,60175957.67525291,0.7451962242985388,,
2019-08-31,0.7497450113296509,0.7547789812088013,0.7252330183982849,0.7350550293922424,3799774,59005256.97368121,-1.9454625182527718,,
2019-09-01,0.7350000143051147,0.740011990070343,0.7099170088768005,0.7296620011329651,3101143,58572341.06183705,-0.7336904100549324,,
2019-09-02,0.7272109985351562,0.7518280148506165,0.7111430168151855,0.7456449866294861,5559253,59855347.27051315,2.1904642795847584,,
2019-09-03,0.7456740140914917,0.7569159865379333,0.7380639910697937,0.7478709816932678,4557805,60034035.1312971,0.2985328277795851,,
2019-09-04,0.7479450106620789,0.7535399794578552,0.7260469794273376,0.7346979975700378,3407708,58976596.8685536,-1.7613979477322128,,
2019-09-05,0.7348530292510986,0.7436460256576538,0.7304679751396179,0.7320370078086853,3483858,58762990.56916842,-0.3621882419924338,,
2019-09-06,0.7320370078086853,0.7515950202941895,0.7155020236968994,0.7220439910888672,3970044,57960818.62840544,-1.3650972031771569,,
2019-09-07,0.72291499376297,0.7244679927825928,0.695743978023529,0.7202249765396118,4592004,57814800.4166718,-0.2519257235992223,,
2019-09-08,0.7197049856185913,0.7275859713554382,0.703760027885437,0.7157520055770874,3897293,57455740.495270014,-0.6210519085321442,,
2019-09-09,0.7157520055770874,0.7188100218772888,0.7012820243835449,0.7113500237464905,3688650,57102379.10228341,-0.6150149487946899,,
2019-09-10,0.7100980281829834,0.7280660271644592,0.7032840251922607,0.7095490097999573,3258114,56957805.8574527,-0.2531825242723329,,
