asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
avax,13,0.7894454646052658,1.1231421500853132,1.372697237511849,1.3860344726944671,1.1600535036265593,0.7313483547565166,0.5254027261462205,1.3860344726944671,0.7553836540124265,807
link,13,0.4901981274327867,0.9014859004154351,1.1851679562469588,1.2614154730414502,0.9155900399503831,0.694225605093204,0.49553264604811,1.2614154730414502,0.7050870670400364,1455
ada,13,0.5230478660575673,0.9136156294379556,1.2234375201523566,1.3338542055323164,0.8266290347547482,0.7669230857791339,0.49838709677419357,1.3338542055323164,0.6939032889780388,1240
trx,13,0.6196017015834543,0.8866764272074321,1.4303025519708052,1.4316662134121128,1.18647361787538,0.6544231200799194,0.5133376707872479,1.4316662134121128,0.8756923530130902,1537
sui,13,2.3345711286110014,0.8430483023202141,1.2672236668232102,1.2433212059376566,1.0000523468669835,0.5298822716230946,0.4696969696969697,1.2433212059376566,0.6285642327272122,396
sol,13,1.096599269920318,1.3475604833189598,1.7297425880130344,1.3999554119914717,1.3729451823118402,0.7439049772075303,0.5051935788479698,1.3999554119914717,0.7579183028871385,1059
bnb,13,0.5180771727889708,0.9458261376528088,1.2621788056792287,1.3190313762971402,0.7973651277435945,0.7556454452124458,0.5183544303797468,1.3190313762971402,0.6370360291014293,1580
btc,13,0.4303118213173591,1.1088624067261104,1.228552177695905,1.3185225243689136,0.7957491691997157,0.5451428945675983,0.5295146480104941,1.3185225243689136,0.39120904705216747,2287
xrp,14,0.3247647850526145,0.7137696581910478,0.894806460699677,1.283642474228641,0.5864412221761768,0.8491851767864919,0.47914963205233035,1.283642474228641,0.6977001434757948,1223
eth,14,0.3458138359715883,0.8490804203158538,0.9449411982159835,1.2442629613842913,0.7186831770097746,0.5775793539164867,0.5,1.2442629613842913,0.4888777966326673,1418
algo,14,-0.49375038949724515,0.2014749736430343,0.22940846143404076,1.0588926841872515,0.14355340891906176,0.9217426727010329,0.4790547798066595,1.0588926841872515,0.656753046891266,931
vet,14,0.3399135867816103,0.7717729626026926,0.8947415005899073,1.2361165925068978,0.7235292481919616,0.6624636991615863,0.5049864007252947,1.2361165925068978,0.6210529332259044,1103
atom,14,0.099062129394204,0.3187464922252268,0.3697647439941603,1.0879239341612708,0.2459878068788416,0.8046321468300718,0.47776726584673607,1.0879239341612708,0.6209627461659593,1057
pol,14,-0.05750862372487475,0.17903969360480987,0.17949657145266648,1.052041446702691,0.1771132132916298,0.45966752951273365,0.49193548387096775,1.052041446702691,0.4547214729797671,248
tao,14,0.7561115205864755,1.1410951406803669,1.4330188386701757,1.3331161293700247,1.4625397931873576,0.551598130003172,0.5069124423963134,1.3331161293700247,0.7069824296126307,434
