asset,hull_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
link,9,0.5100064209770434,0.9313005006000818,1.237300877815384,1.2589972993196727,0.8293287280351077,0.7725987353862804,0.4969939879759519,1.2589972993196727,0.6880038463273435,1497
ada,9,0.5522571460169998,0.8660168294336895,1.3430577106601063,1.3332367036453863,0.9069187316986418,0.7943221535768991,0.49471458773784355,1.3332367036453863,0.8318379223105555,1419
trx,9,0.5652989652116314,0.8470619552322081,1.431663915191858,1.391186128899886,0.9838750006993252,0.7527148831958894,0.5141752577319587,1.391186128899886,0.8742894798382618,1552
sui,9,1.3272160579511798,0.671716893830173,1.0088809289185627,1.1820835755573926,0.7224451612792242,0.6148913732472278,0.4818181818181818,1.1820835755573926,0.6613281598171453,440
sol,9,0.9623477605399411,1.278652229837547,1.5533727190415962,1.378706801392378,1.293840112629333,0.7274000685462494,0.5118708452041786,1.378706801392378,0.7360401559179511,1053
bnb,9,0.6032240602280126,1.0453468303909104,1.355567491840732,1.3701296098792841,0.7795901509275327,0.8285021376724935,0.5228459530026109,1.3701296098792841,0.6178735016686754,1532
btc,9,0.3568975376067465,0.9658985664312542,1.07302035717946,1.2835099968655732,0.5233609318569475,0.7310095252024662,0.5217588395285585,1.2835099968655732,0.39608903005189106,2206
xrp,10,0.6685113124168824,1.0078912473323918,1.3934486087446947,1.407057568639514,1.0622292076727904,0.7191198974623946,0.496090973702914,1.407057568639514,0.7578894656789309,1407
eth,10,0.4056191207995705,0.9283091005282963,1.0671856380524365,1.2618336544223998,0.7313714778787189,0.6342039588665761,0.5009810333551341,1.2618336544223998,0.4996597430842956,1529
algo,10,0.17689312585699213,0.5639811883563037,0.7220385088050567,1.1568467565568614,0.46922534154158413,0.8113881676750873,0.49475524475524474,1.1568467565568614,0.675064874432682,1144
vet,10,0.3874427568272596,0.8127311310355838,1.006233609827874,1.233236489202606,0.7922929328035277,0.6867263154688836,0.5003825554705432,1.233236489202606,0.6694568298656454,1307
atom,10,-0.19034375421626004,0.28624424779024066,0.33658511461237034,1.0758433823978175,0.197704203983484,0.9453047284977923,0.4739057239057239,1.0758433823978175,0.6529064612206033,1188
pol,10,-0.010785415229640383,0.2351690446167394,0.2811753078655721,1.0587237449215514,0.27093790484188446,0.4254777998259768,0.4831804281345566,1.0587237449215514,0.49019233730126455,327
tao,10,0.46905795812419737,0.4820358973400705,0.5976727078647369,1.1254917276235852,0.5012225782184725,0.6568196694961151,0.47651006711409394,1.1254917276235852,0.6829633435727135,447
ltc,10,0.28217412827521504,0.691980632507836,0.8360371294942901,1.2225575394940367,0.6145857774649949,0.7093195965828388,0.48492217898832685,1.2225575394940367,0.6299854580569983,2056
xlm,10,0.5786595644110957,0.9427477506130159,1.3453037101365979,1.3542320935608994,0.8404910351719433,0.8384277719624808,0.49891696750902526,1.3542320935608994,0.7474862979152489,1385
avax,10,0.32778813886419655,0.7287928599070075,0.9502137241854927,1.2166442526986077,0.7126572671845128,0.7736230140046991,0.4957356076759062,1.2166442526986077,0.7564948743624949,938
