asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
tao,115,0.49869350447317995,0.9616341999832304,1.0627088647110166,1.3280379827908895,0.9376334958541391,0.6217783910563793,0.48936170212765956,1.3280379827908895,0.6062598922364884,329
ltc,115,0.39938401171982973,0.8436951203809242,0.9523542966087014,1.314053351997721,0.7759255387787984,0.6476006080346906,0.4908984145625367,1.314053351997721,0.5955822649251817,1703
xlm,115,0.42208458252719594,0.8614472798738304,1.0820954215597425,1.3623670142449726,0.762023982868607,0.6623286378367692,0.5164410058027079,1.3623670142449726,0.5858864707846486,1034
avax,115,0.34781665190684397,0.8062829764891181,0.7523788779216316,1.2738327433302112,0.8318940154635751,0.5546200252305279,0.5245398773006135,1.2738327433302112,0.5722371590363848,652
link,115,0.5707278514358969,1.0520458819378886,1.3395052681426431,1.325186475666652,1.0841869109309683,0.5704519023128747,0.5020177562550444,1.325186475666652,0.5878797649623841,1239
ada,115,0.42486425357962077,0.9251242310251573,0.9442278083272287,1.3140804844891092,0.7658918048387007,0.6438564371366563,0.5160403299725023,1.3140804844891092,0.5330358368725934,1091
trx,115,0.12941172083918695,0.4668392107933503,0.5088015573313623,1.1744862845831303,0.41238250928995557,0.6176126576632082,0.5104895104895105,1.1744862845831303,0.5455682634360669,1287
sui,115,1.5002220595857838,0.7517158038768361,0.931342354691451,1.26719535460161,0.8514945831897754,0.43308990586025853,0.49433962264150944,1.26719535460161,0.4905759689663265,265
sol,115,0.7355468792270414,1.187031978775009,1.2822164543103407,1.4165912181917506,1.1606130128739354,0.6399281552356848,0.511166253101737,1.4165912181917506,0.6256857081789885,806
bnb,115,0.38910599850397,0.9019188576959845,1.0280020638836254,1.3252677199643559,0.7688246871307074,0.5702147051186629,0.5233644859813084,1.3252677199643559,0.4860693825385756,1284
btc,115,0.483121241068017,1.28484179094808,1.3621904762388706,1.4212341970114446,1.0178682811578776,0.44851094270630465,0.54,1.4212341970114446,0.3553161685347248,1950
xrp,116,0.3615877322731502,0.8193167754036507,0.8534823691108193,1.3270451478917504,0.7630831443093783,0.595852171908092,0.49430740037950666,1.3270451478917504,0.5549559859300949,1054
eth,116,0.2935736609048001,0.7978921837633397,0.8195325332796398,1.247711929781316,0.6660712894442575,0.5341098806131009,0.504313725490196,1.247711929781316,0.4458688330632977,1275
algo,116,2.187992830250525,0.49367407181246953,0.5389881998708855,1.1665184656276133,0.36098535551514666,0.8142341406599302,0.5067484662576687,1.1665184656276133,0.595385938863623,815
vet,116,0.5720102500332156,1.065426468863754,1.2101484193695404,1.381349074032597,1.0433081803610298,0.5838509162701722,0.5107296137339056,1.381349074032597,0.5717301520635013,932
atom,116,2.8508463688920296,0.5236072875475014,0.5541665976453075,1.163555188146679,0.44167104067652835,0.6732577405931813,0.4878854625550661,1.163555188146679,0.5679035681953574,908
pol,116,-0.1572585727712963,0.02622581071156487,0.021227200904369744,1.0094244334832827,0.021305480359588944,0.4581317440723854,0.48466257668711654,1.0094244334832827,0.37217979580452865,163
