asset,trix_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
tao,22,0.686305646518035,0.5501767684950647,0.7235225304695336,1.1460681801017274,0.6592136368377467,0.5739520460649096,0.4632352941176471,1.1460681801017274,0.687700821486629,408
ltc,22,0.3048256451071656,0.7177590958673393,0.7938567855030982,1.2266780717561419,0.5698517718581702,0.867444285073791,0.5111111111111111,1.2266780717561419,0.6886916037479318,1980
xlm,22,-0.7320866205797742,0.14117549625637485,0.1686417516221678,1.0458576789434042,0.10802166455636754,0.8965145256170299,0.4842271293375394,1.0458576789434042,0.6859759230472037,1268
avax,22,0.4453425328334395,0.8375041610131922,1.0083866956676746,1.266470076680294,0.8362751191588925,0.791672715233249,0.5116851168511685,1.266470076680294,0.7905109312717798,813
link,22,1.6938906494736576,0.4956099643620974,0.5926084988431248,1.130140732552286,0.440353703075077,0.8765745806730932,0.48782011242973145,1.130140732552286,0.778844031349745,1601
ada,22,0.1341947433002353,0.5016125405910921,0.548723313398056,1.1481569994487801,0.3701573324294069,0.7959052707024176,0.5,1.1481569994487801,0.5873261691634505,1192
trx,22,0.029516137945096776,0.3075014144175587,0.34331179480221563,1.0934619582227332,0.22385258372237135,0.8975060956116662,0.516548463356974,1.0934619582227332,0.653359786294944,1692
sui,22,0.6172181547628754,1.038687028482889,1.583447952821093,1.2812997966452842,1.1428488072996839,0.6117786058196303,0.48693586698337293,1.2812997966452842,0.6731290858745385,421
sol,22,0.9097829933417754,1.2069272959688044,1.511112630314618,1.3489993831502478,1.1526469727692181,0.826079600999553,0.49577464788732395,1.3489993831502478,0.7889275141417876,1065
bnb,22,0.45252603685960846,0.9038504064001727,0.986339731452827,1.282036030667369,0.8053852955398675,0.6976229406528873,0.5265760197775031,1.282036030667369,0.6216241695026247,1618
btc,22,0.4573137310296955,1.088872255346615,1.1620870164519455,1.3119039627868374,0.7211953031172641,0.6502628489838427,0.5398457583547558,1.3119039627868374,0.4306901109621114,2334
