fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
25,26,5.576,1.7207,3,0.0701,0.0452,0.0072,0.0124,5.0,0.0,0.8889,0.1925,8.6146,2.3995,3.3853799999999996,APO,matrix
65,158,3.7028,1.6022,3,0.0441,0.0209,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.8181599999999998,APO,matrix
65,159,3.7028,1.6022,3,0.0441,0.0209,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.8181599999999998,APO,matrix
65,160,3.7028,1.6022,3,0.0441,0.0209,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.8181599999999998,APO,matrix
66,156,3.7028,1.6022,3,0.0441,0.0209,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.8181599999999998,APO,matrix
65,157,3.6729,1.5756,3,0.0221,0.019,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.80479,APO,matrix
66,152,3.6729,1.5756,3,0.0221,0.019,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.80479,APO,matrix
66,153,3.6729,1.5756,3,0.0221,0.019,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.80479,APO,matrix
66,154,3.6729,1.5756,3,0.0221,0.019,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.80479,APO,matrix
66,155,3.6729,1.5756,3,0.0221,0.019,0.0075,0.0131,5.0,0.0,0.7778,0.3849,7.2755,4.719,2.80479,APO,matrix
