asset,hull_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.09866693084099365,-3.0911392701446903,-2.3580940055351682,0.41619868843755864,-12.718496884432607,0.15540486362921932,0.4,0.41619868843755864,0.6394135304687787,5
xmr,5,-0.0035517512490501613,-0.1411033906837502,-0.2904965562238486,0.9712644516893646,-0.6180544300341162,0.0637592523371787,0.2857142857142857,0.9712644516893646,0.27927527589310114,7
aave,5,-0.10660257612292967,-2.753744186958137,-2.243606495060098,0.5057781784389639,-13.907106791907083,0.14949704667916228,0.3333333333333333,0.5057781784389639,0.7549980143719989,6
uni,6,-0.1072334374539643,-3.4096218963585136,-2.8291083411485487,0.39302865649221935,-13.315043733118507,0.16343211800229365,0.3333333333333333,0.39302865649221935,0.6382249600522604,6
xmr,6,-0.0035517512490501613,-0.1411033906837502,-0.2904965562238486,0.9712644516893646,-0.6180544300341162,0.0637592523371787,0.2857142857142857,0.9712644516893646,0.27927527589310114,7
aave,6,-0.10660257612292967,-2.753744186958137,-2.243606495060098,0.5057781784389639,-13.907106791907083,0.14949704667916228,0.3333333333333333,0.5057781784389639,0.7549980143719989,6
uni,7,0.008422088464083544,0.6539763416590186,1.8177756706082016,1.1974800074539338,4.220641879976675,0.055056981188628555,0.4,1.1974800074539338,0.3553275337152391,5
xmr,7,-0.0035517512490501613,-0.1411033906837502,-0.2904965562238486,0.9712644516893646,-0.6180544300341162,0.0637592523371787,0.2857142857142857,0.9712644516893646,0.27927527589310114,7
aave,7,-0.11014415822647283,-2.866946263568054,-2.4948074781488057,0.4959635428056032,-14.14495327561165,0.15286858767311318,0.2857142857142857,0.4959635428056032,0.754223773714481,7
uni,8,0.008422088464083544,0.6539763416590186,1.8177756706082016,1.1974800074539338,4.220641879976675,0.055056981188628555,0.4,1.1974800074539338,0.3553275337152391,5
xmr,8,0.038007072176324375,2.5269025178205964,5.0,1.60802435648927,13.734396331862385,0.060710226353172296,0.4444444444444444,1.60802435648927,0.3299764451739502,9
aave,8,-0.1428754764722524,-4.12000620173689,-3.4200511792725297,0.309032662871782,-16.10758838417456,0.18402838519447945,0.16666666666666666,0.309032662871782,0.7194779169185096,6
uni,9,0.008422088464083544,0.6539763416590186,1.8177756706082016,1.1974800074539338,4.220641879976675,0.055056981188628555,0.4,1.1974800074539338,0.3553275337152391,5
xmr,9,0.040954719890414326,2.714957382206577,5.0,1.6809126405363422,15.390054737904652,0.05804290796163844,0.5,1.6809126405363422,0.329023039746857,8
aave,9,-0.1428754764722524,-4.12000620173689,-3.4200511792725297,0.309032662871782,-16.10758838417456,0.18402838519447945,0.16666666666666666,0.309032662871782,0.7194779169185096,6
uni,10,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
