ema_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
22,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
23,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
24,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
25,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
26,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
27,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
28,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
29,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
30,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
31,3.5766,0.7756,3,0.113,0.0394,0.0712,0.0049,5.0,0.0,0.5833,0.0833,1.846,0.3421,35.4352,13.637,2.7813400000000006,EMA,single
