asset,aroon_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xmr,131,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,132,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,133,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,134,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,135,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,136,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,137,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,138,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,139,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,140,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,141,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,142,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,143,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,144,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,145,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,146,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,147,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,148,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,149,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
uni,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,150,0.012290153296450557,1.3302472187234047,1.666777548185173,1.5221578493844463,11.010816527221019,0.02507433496670608,0.3333333333333333,1.5221578493844463,0.2075470619103694,3
aave,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
