indicator,description,parameter_type,best_sharpe_ratio,best_return,best_drawdown,combined_score,best_parameter,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema,best_fast_period,best_slow_period,best_fast_hma,best_slow_hma
EMA,Price > EMA = Long,single_param,3.5766,0.113,0.0712,2.7813400000000006,22,,,,,,,,
RSI,RSI > 50 = Long,single_param,1.1866,0.0248,0.024,1.05615,12,,,,,,,,
CCI,CCI > 0 = Long,single_param,1.1866,0.0248,0.024,1.05615,22,,,,,,,,
ADX,ADX > 25 = Long,single_param,2.0486,0.022,0.0073,1.3175299999999999,32,,,,,,,,
AROON,Aroon > 0 = Long,single_param,3.3126,0.0569,0.0396,1.69725,14,,,,,,,,
CMO,CMO > 0 = Long,single_param,1.1866,0.0248,0.024,1.05615,12,,,,,,,,
MFI,MFI > 50 = Long,single_param,3.0158,0.0466,0.0123,2.1115899999999996,20,,,,,,,,
WILLR,WILLR > -50 = Long,single_param,1.3229,0.0254,0.0605,1.2220399999999998,19,,,,,,,,
DI,+DI > -DI = Long,matrix,0.055,0.0248,0.024,0.24891000000000002,"+DI:7, -DI:11",7.0,11.0,,,,,,
MACD,MACD > Signal = Long,matrix,0.055,0.0248,0.024,0.25206,"Fast:13, Slow:146",,,13.0,146.0,,,,
APO,APO > 0 = Long,matrix,5.576,0.0701,0.0072,3.3853799999999996,"Fast:25, Slow:26",,,,,25.0,26.0,,
MOM,MOM > 0 = Long,single_param,2.4013,0.0424,0.0246,1.92394,148,,,,,,,,
PPO,PPO > 0 = Long,matrix,0.1524,0.0526,0.0093,0.36154000000000003,"Fast:18, Slow:28",,,,,18.0,28.0,,
TRIX,TRIX > 0 = Long,single_param,2.7577,0.0243,0.0594,2.0427799999999996,61,,,,,,,,
ADOSC,ADOSC > 0 = Long (Volume-based),matrix,0.0377,0.0124,0.051,0.31039,"Fast:2, Slow:25",,,,,2.0,25.0,,
VIDYA,VIDYA steigend = Long,single_param,0.8772,0.0176,0.024,0.9618899999999999,20,,,,,,,,
TRENDCONT,Uptrend = Long (Dual HMA),matrix,4.5826,0.0349,0.0,3.0817600000000005,"Fast HMA:5, Slow HMA:79",,,,,,,5.0,79.0
HULLSUITE,MHULL > SHULL = Long,single_param,1.1866,0.0248,0.024,1.05615,48,,,,,,,,
FSVZO,VZO > Signal = Long (Volume),single_param,-1.8342,-0.0072,0.0422,-0.49750999999999995,148,,,,,,,,
BBPCT,Position > 50 = Long (BB %),single_param,1.1866,0.0248,0.024,1.05615,25,,,,,,,,
