asset,adx_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.08989805582820676,-2.5371930123114734,-2.7868472834060154,0.602913322258201,-9.822801121639516,0.17771198190859036,0.45454545454545453,0.602913322258201,0.6880160266680508,11
xmr,5,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,5,0.02185459739450213,1.029578828151534,2.195974480303533,1.1988337149093222,7.803728946066938,0.07899914105455953,0.3333333333333333,1.1988337149093222,0.5987767686216993,9
uni,6,-0.08989805582820676,-2.5371930123114734,-2.7868472834060154,0.602913322258201,-9.822801121639516,0.17771198190859036,0.45454545454545453,0.602913322258201,0.6880160266680508,11
xmr,6,0.052835254862966696,2.6315857934842892,5.0,1.5331026751209897,16.295241210735497,0.07205274489631609,0.45454545454545453,1.5331026751209897,0.44616324532839946,11
aave,6,0.047894242934511944,1.9510017129426989,3.626808931102864,1.4414379255957126,20.499497368474717,0.05552952417351416,0.375,1.4414379255957126,0.5834578858214664,8
uni,7,-0.08989805582820676,-2.5371930123114734,-2.7868472834060154,0.602913322258201,-9.822801121639516,0.17771198190859036,0.45454545454545453,0.602913322258201,0.6880160266680508,11
xmr,7,-0.06523302066096481,-4.7355119112661415,-5.0,0.3761382331508037,-19.069455936712497,0.07205274489631619,0.25,0.3761382331508037,0.2901495487004524,8
aave,7,0.0027327682661764108,0.39346854737917986,0.8521838463969417,1.0629122050359319,2.5163478938144546,0.10629274343087623,0.36363636363636365,1.0629122050359319,0.679773574893368,11
uni,8,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,8,-0.0625785457313498,-4.5169466696937715,-5.0,0.3865757497439837,-18.244154685097406,0.07205274489631619,0.2857142857142857,0.3865757497439837,0.29102434000252986,7
aave,8,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,9,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,9,-0.05171068316612093,-5.7194326442694585,-4.111576471541008,0.058767836771315,-21.182131528326472,0.05171068316612093,0.3333333333333333,0.058767836771315,0.19151243844821933,3
aave,9,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,10,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,10,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,11,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,11,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,12,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,12,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,13,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,13,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,14,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,14,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,15,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,15,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,16,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,16,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,17,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,17,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,18,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,18,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
uni,19,-0.155677268197424,-4.360455200233545,-5.0,0.44817475625239933,-13.761416134262435,0.23714428893428274,0.4166666666666667,0.44817475625239933,0.7484175605596503,12
xmr,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aave,19,-0.13466286002742456,-2.809469625284625,-3.8798238736282773,0.6338889756612786,-12.047358888435781,0.21664294285795446,0.3333333333333333,0.6338889756612786,0.9289921698271603,12
