indicator,description,threshold,type,total_tests,total_assets,best_sharpe_ratio,avg_sharpe_ratio,worst_sharpe_ratio,std_sharpe_ratio,best_sortino_ratio,avg_sortino_ratio,worst_sortino_ratio,std_sortino_ratio,best_total_return,avg_total_return,worst_total_return,std_total_return,best_max_drawdown,avg_max_drawdown,worst_max_drawdown,std_max_drawdown,best_win_rate,avg_win_rate,worst_win_rate,std_win_rate,best_omega_ratio,avg_omega_ratio,worst_omega_ratio,std_omega_ratio,best_calmar_ratio,avg_calmar_ratio,worst_calmar_ratio,std_calmar_ratio,best_parameter,best_asset,best_sharpe,best_return,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema,best_fast_period,best_slow_period,best_fast_hma,best_slow_hma
EMA,Price > EMA = Long,,single_param,438,3,5.656123617856332,3.0971764506170394,-8.245755800591063,1.924050141552321,5.0,4.476974687879432,-5.0,2.035040120425157,0.20196768563678802,0.0965665989557243,-0.2929427044949987,0.07091822096699918,0.28514590784032673,0.078918202172948,0.045989817431461515,0.03210325587108186,0.6666666666666666,0.5656392694063926,0.25,0.08542878647969791,2.860436147255028,1.7593345478683793,0.25956315475699476,0.40690992032994405,89.74534201238606,31.89785310169113,-24.013035386449197,16.203425324290983,5,uni,5.656123617856332,0.20196768563678802,,,,,,,,
RSI,RSI > 50 = Long,50.0,single_param,438,3,3.559751173893612,0.9898918448985651,-7.656975708622557,2.065215549059302,5.0,1.5633672416116469,-5.0,2.4958384668244777,0.07449052139222889,0.02165512109192699,-0.21067871625481327,0.04194848841193002,0.20113804278660977,0.02674243474307091,0.0,0.03784722622353237,0.5,0.1661477791614778,0.0,0.23528565253080555,1.7292227033296357,0.5724682295351331,0.0,0.811329445699969,22.29000228596514,6.67045993089644,-23.50921269667738,11.449802809246718,10,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
CCI,CCI > 0 = Long,0.0,single_param,438,3,3.559751173893612,0.6809502531435373,-9.506457226866402,2.608555731575238,5.0,1.3021712537687273,-5.0,2.7764952247897576,0.07449052139222889,0.01596805375846574,-0.25689678027326446,0.05206007536901989,0.2479147531588503,0.033080722996344694,0.0,0.04547539504566013,0.5,0.17247993634979936,0.0,0.2327992014473244,1.7292227033296357,0.5812458539875442,0.0,0.8018158125774367,22.29000228596514,5.731544286075836,-24.051805721381108,12.400396899915712,12,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
ADX,ADX > 25 = Long,25.0,single_param,438,3,4.58257569495584,-0.4029034256700855,-7.277963682839712,1.3269300912479034,5.0,-0.46214476824869316,-5.0,1.5404126176830382,0.07449052139222889,-0.016113626380844168,-0.20882646248282166,0.046615417491423776,0.23714428893428285,0.027036498568239184,0.0,0.07133857356110568,1.0,0.057129761410583325,0.0,0.14846452267332225,10.0,0.12921897558591605,0.0,0.7109310718394962,22.29000228596514,-1.4381398416747078,-21.182131528326472,4.852377022346941,33,uni,4.58257569495584,0.03712081595600947,,,,,,,,
AROON,Aroon > 0 = Long,0.0,single_param,438,3,5.8676916103691426,0.4739006705118592,-9.383502972210911,2.05475128041429,5.0,0.9063174411355019,-5.0,2.1156447381212344,0.08795789451411662,0.009002150551998727,-0.1370211811579385,0.03635782473820174,0.13702118115793852,0.025258064092884926,0.0,0.03562362241060538,1.0,0.1579327192340891,0.0,0.21718506279422872,10.0,0.5913755060863404,0.0,1.0076838977371607,65.38262791296346,4.2318231928366385,-24.11748102903644,10.98097798806584,107,xmr,5.8676916103691426,0.08795789451411662,,,,,,,,
CMO,CMO > 0 = Long,0.0,single_param,438,3,3.559751173893612,0.9898918448985651,-7.656975708622557,2.065215549059302,5.0,1.5633672416116469,-5.0,2.4958384668244777,0.07449052139222889,0.02165512109192699,-0.21067871625481327,0.04194848841193002,0.20113804278660977,0.02674243474307091,0.0,0.03784722622353237,0.5,0.1661477791614778,0.0,0.23528565253080555,1.7292227033296357,0.5724682295351331,0.0,0.811329445699969,22.29000228596514,6.67045993089644,-23.50921269667738,11.449802809246718,10,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
MFI,MFI > 50 = Long,50.0,single_param,438,3,4.67238082811028,-0.8660989939576045,-9.694199365011348,3.809297596730315,5.0,-0.1396160703264942,-5.0,4.192824341669203,0.07747054136556697,-0.037251659931944445,-0.23995311528864638,0.09740350084010171,0.25255511421579574,0.11499198546821045,0.0,0.08215226627622982,1.0,0.3522138376590431,0.0,0.20760685169315704,10.0,1.0717337746984157,0.0,1.5359322369302313,44.17215092968003,0.2868799847030442,-31.092737389988343,17.308873530732637,47,uni,4.67238082811028,0.06717766932926961,,,,,,,,
WILLR,WILLR > -50 = Long,-50.0,single_param,438,3,3.559751173893612,-0.19127532766030353,-8.999641300653286,3.3593544714283006,5.0,0.643529522764366,-5.0,3.480108933593157,0.07449052139222889,-0.009576694079178858,-0.24791475315885025,0.08332923781950666,0.24791475315885025,0.06503105154534347,0.0,0.07173081311999419,0.5,0.21855912352487694,0.0,0.22482243432898205,1.7292227033296357,0.6512337722889194,0.0,0.7709597847280676,22.29000228596514,2.2740194836371206,-23.50921269667738,15.639951851579381,13,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
DI,+DI > -DI = Long,0.0,matrix,67500,3,0.1651049191259566,0.03923624146248675,-0.42814372728655953,0.10467770318110572,0.6124925453752706,0.08992458125952085,-1.5564070687862477,0.23615812191264451,0.07449052139222889,0.020164645242167135,-0.22874956733539842,0.04083995789135536,0.23714428893428274,0.02832377286154179,0.0,0.03891985647758471,0.5,0.16611358024691358,0.0,0.23174697967649768,1.7292227033296357,0.5738431275297586,0.0,0.8008346939385833,1.0338332217519342,0.2842650624412132,-1.2235801642533228,0.5442714049406089,"+DI:2, -DI:1",xmr,0.1651049191259566,0.07449052139222889,2.0,1.0,,,,,,
MACD,MACD > Signal = Long,0.0,matrix,37098,3,0.1651049191259566,0.014710159381955041,-0.41088172026469055,0.1384682391678774,0.3541271319511545,0.08078179048317514,-0.3498072693336794,0.2062851108057426,0.07449052139222889,0.0010813378899707231,-0.24791475315885025,0.0748828193674124,0.24791475315885037,0.050300384762141735,0.0,0.06382874671530409,0.5,0.18403283195859615,0.0,0.22819739154979687,1.7292227033296357,0.6041547765144933,0.0,0.7901778040565279,1.0338332217519342,0.20039977269535503,-1.0,0.6517489833185962,"Fast:4, Slow:72",xmr,0.1651049191259566,0.07449052139222889,,,4.0,72.0,,,,
APO,APO > 0 = Long,0.0,matrix,37539,3,9.84543338891243,0.41348678678653245,-9.067505461848626,2.2259585804771396,5.0,0.6945133987422636,-5.0,2.7784098639992956,0.16729279230048055,0.0008012221598132337,-0.22874956733539842,0.059416381458078954,0.2715767368798806,0.043000893034011424,0.0,0.0684435196794139,1.0,0.18611284956286156,0.0,0.2366534570623991,13.020333964754549,0.6707054535157642,0.0,1.3015324941254098,252.4270132598455,4.01780248662,-25.576024734156086,12.360101372128037,"Fast:24, Slow:25",xmr,9.84543338891243,0.16729279230048055,,,,,24.0,25.0,,
MOM,MOM > 0 = Long,0.0,single_param,438,3,6.046793069076235,0.3622333257916036,-8.1290387060641,2.7235348968386304,5.0,1.1354951957304205,-5.0,2.739179010286124,0.11209777493519613,0.010360019532982613,-0.2191946070346955,0.051147674359875904,0.24492149118818915,0.03505145570959448,0.0,0.043877787613109044,1.0,0.17811447811447814,0.0,0.23214146555355097,10.0,0.6005731907232528,0.0,0.9208204613864538,81.53255104165636,4.429040578967182,-23.31164950737111,14.35768738080778,148,xmr,6.046793069076235,0.1102468794841458,,,,,,,,
PPO,PPO > 0 = Long,0.0,matrix,33945,3,0.4959903714819925,0.02059700895611848,-0.41088172026469055,0.10315124363541064,1.075511182970435,0.05692596549092522,-1.5564070687862477,0.1768037973359082,0.16729279230048055,0.0026800738256613924,-0.21977923931702903,0.057418443022820655,0.2715767368798806,0.04076165808953016,0.0,0.06596903499168492,0.5,0.15145333136937203,0.0,0.20714449645104327,13.020333964754549,0.5625347124407387,0.0,0.8606572275227884,11.968719106104478,0.19175976690438123,-1.2059631085704088,0.5786712484255009,"Fast:24, Slow:25",xmr,0.4959903714819925,0.16729279230048055,,,,,24.0,25.0,,
TRIX,TRIX > 0 = Long,0.0,single_param,438,3,4.67238082811028,-0.079780501230308,-6.779461988353758,3.1031150472113556,5.0,0.12166738004870464,-5.0,3.9944792733043326,0.07449052139222889,-0.027096815013844488,-0.18589742023036515,0.09338822814748281,0.23714428893428274,0.10841782718476528,0.0,0.09107700563752677,1.0,0.32866631085809167,0.0,0.20678678674991102,10.0,0.9391131989651841,0.0,1.1469811859377377,43.19954739286671,2.953697272046789,-21.542876577095008,15.383180735553246,63,uni,4.67238082811028,0.06717766932926961,,,,,,,,
ADOSC,ADOSC > 0 = Long (Volume-based),0.0,matrix,35310,3,0.1300493365357111,-0.11661993256159056,-0.3828885876411117,0.08950486708383346,0.6124925453752706,-0.14990800059389492,-1.5564070687862477,0.13311533248730414,0.04251207169300608,-0.09132811618559887,-0.20998390488790375,0.06930859282026605,0.24791475315885028,0.14329429333547064,0.0,0.10490466308232202,0.4166666666666667,0.23207306711979608,0.0,0.17486352883551684,3.002811556691831,0.3704273161165732,0.0,0.28527236818841045,1.9369044649970075,-0.4253790531480258,-1.5159530371567569,0.31482623590555536,"Fast:2, Slow:4",uni,0.1300493365357111,0.04251207169300608,,,,,2.0,4.0,,
VIDYA,VIDYA steigend = Long,,single_param,438,3,2.6315857934842892,0.47261740466512014,-7.18773481701232,2.0307693236363713,5.0,1.3837596930648153,-5.0,2.6050928321651905,0.052835254862966696,0.011357948959968294,-0.20113804278660963,0.03871540359379108,0.20113804278660966,0.02929175579912704,0.0,0.04090853560011923,0.45454545454545453,0.15029749550297494,0.0,0.2123242551338921,1.5331026751209897,0.5013750065425803,0.0,0.711695104835884,16.295241210735497,3.8575368793077,-22.262310565668997,9.733856317929975,16,xmr,2.6315857934842892,0.052835254862966696,,,,,,,,
TRENDCONT,Uptrend = Long (Dual HMA),,matrix,33945,3,6.786088759684894,-0.4036806810397016,-9.067505461848626,2.3613124195117052,5.0,-0.0350277872260057,-5.0,2.133906537196779,0.10372919699741301,-0.013192811281835684,-0.21664294285795438,0.049096979582832656,0.2287495673353983,0.029632128812164524,0.0,0.05251503255900879,1.0,0.1335084192088169,0.0,0.24926657094735258,14.181019770905134,0.7333172411165674,0.0,2.11838599494129,276.8014151890086,-1.2135569983525827,-22.068408046985706,10.92497577235225,"Fast HMA:59, Slow HMA:60",xmr,6.786088759684894,0.07780104838647217,,,,,,,59.0,60.0
HULLSUITE,MHULL > SHULL = Long,,single_param,438,3,3.559751173893612,0.4014799576269621,-9.067505461848626,2.6509065003522623,5.0,1.0028701374478803,-5.0,3.0266178044016576,0.07449052139222889,0.00393588320538801,-0.21664294285795438,0.0644057422841609,0.21664294285795438,0.04972196865049906,0.0,0.055973153364856705,0.5,0.20906084656084656,0.0,0.22497790349712143,1.7292227033296357,0.637629006216163,0.0,0.763260196563616,22.29000228596514,4.205001631466905,-22.068408046985706,13.195456639260891,18,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
FSVZO,VZO > Signal = Long (Volume),0.0,single_param,438,3,1.8220281641728426,-3.8911189937749278,-8.352828333143433,3.9512424224686566,3.6262401585007504,-2.015818291273896,-5.0,3.596233975534484,0.03300894208995042,-0.05389399148195213,-0.18985213747199647,0.07159344132660235,0.2287495673353983,0.09549660173318596,0.0,0.058569504418108154,0.45454545454545453,0.17697984410313178,0.0,0.20048986874281063,1.346336220499139,0.46685335624808344,0.0,0.5733925071076523,10.586388919858795,-10.718571859123319,-21.843707103712138,13.551212246519512,47,xmr,1.8220281641728426,0.03300894208995042,,,,,,,,
BBPCT,Position > 50 = Long (BB %),50.0,single_param,438,3,3.559751173893612,0.6945331775908797,-8.999641300653286,2.552750109233358,5.0,1.3589033930099035,-5.0,2.7512345000592036,0.07449052139222889,0.013882124449487042,-0.24791475315885025,0.05690189704233473,0.24791475315885028,0.03524501176554648,0.0,0.04992077248099912,0.5,0.17346335171677638,0.0,0.23325042777613453,1.7292227033296357,0.5881235196693072,0.0,0.8023086892143926,22.29000228596514,5.72758117347884,-23.040169862756823,12.43639777566797,14,xmr,3.559751173893612,0.07449052139222889,,,,,,,,
