asset,rsi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,85,0.14431966708339372,0.5258025477873667,0.5609111329982771,1.1651712829949554,0.4024958415873996,0.8783148622479927,0.4899945916711736,1.1651712829949554,0.6723399898818837,1849
xlm,85,0.990192337950849,0.4030105253252211,0.4891636054271754,1.1409071509085478,0.37011076435770573,0.7566407664710321,0.4822380106571936,1.1409071509085478,0.6948724036346368,1126
avax,85,0.3063211366528935,0.7091449488155708,0.826110300560315,1.2312852009979047,0.707107009056399,0.793315633271864,0.5075445816186557,1.2312852009979047,0.7910358039177701,729
link,85,0.17476479578641912,0.5882606015973081,0.701134821920676,1.1524106192857904,0.48867891896916044,0.9140671565218913,0.4927718416090509,1.1524106192857904,0.7593324263114756,1591
ada,85,0.2087178544851993,0.6088761573790097,0.6782493421837429,1.1787319190017684,0.510420075989909,0.7438072488677677,0.50767987065481,1.1787319190017684,0.6235326312056694,1237
trx,85,2.7178139423676426,0.4839816142946891,0.5865260721592767,1.1443390834232272,0.38039314504989774,0.8457854452328021,0.5199556541019955,1.1443390834232272,0.6647586934028376,1804
sui,85,1.4957586334248032,0.7488198234120512,1.0400209898037627,1.1978563747728537,0.7851417153082582,0.6462418835959781,0.4852941176470588,1.1978563747728537,0.6775881795952201,408
sol,85,1.0539145612737797,1.2763172301030037,1.6165055869080536,1.3660917287441356,1.371699842444915,0.7674619235077389,0.5045955882352942,1.3660917287441356,0.824816412979928,1088
bnb,85,0.48892904458393716,0.9396974007393609,1.1608148186788392,1.2744810665095931,0.7811993574360182,0.7428308715501639,0.5240893066980024,1.2744810665095931,0.6175381554551942,1702
btc,85,0.5016820028766265,1.1474570686732706,1.2820667008404194,1.314116069503038,0.7931900494106093,0.6327186447787113,0.5396762731938413,1.314116069503038,0.4373724706714428,2533
xrp,86,-0.6145869235422523,0.19136039225858129,0.20895905669673287,1.0593036605442947,0.14133943872364466,0.9068836879243378,0.48769574944071586,1.0593036605442947,0.6698273865662336,1341
eth,86,0.18964143516091658,0.6001047149525844,0.6031928486036001,1.15741333271606,0.4110511345174653,0.7641417418553588,0.5211356466876972,1.15741333271606,0.5234108682959026,1585
algo,86,0.08157759566953504,0.3208684524890224,0.3143056630811485,1.1095574234110872,0.2811115013471523,0.7272702881528667,0.48872180451127817,1.1095574234110872,0.6371584398588479,665
vet,86,0.20029960372996114,0.5993510431797179,0.6439036247982434,1.1865074086525973,0.5084825864658403,0.7886152601598206,0.5076923076923077,1.1865074086525973,0.66905218865575,975
atom,86,-0.7879602725608442,0.06282093899520264,0.06212272861268481,1.01833180250256,0.04373193171170788,0.9328297815182048,0.47494305239179957,1.01833180250256,0.649376608444468,878
pol,86,-0.471905601924828,-0.5165066789241476,-0.35688370531588365,0.8318095499020096,-0.2711536596134266,0.6937896410504235,0.44680851063829785,0.8318095499020096,0.3642229768733255,141
tao,86,0.5680216509108256,0.9524381637520415,1.4793995401926427,1.2347823223906362,1.2055719941550922,0.6220273293465337,0.4749034749034749,1.2347823223906362,0.7873463668288035,518
ltc,86,0.1459044387589601,0.5278908575815929,0.5632991056196373,1.1657833136789915,0.4041734434881351,0.8783148622479928,0.4905558553696708,1.1657833136789915,0.6724714725462155,1853
xlm,86,0.5012588894342358,0.3666328307095168,0.4444096218773677,1.1274547211666195,0.3232408111739579,0.7879357373892576,0.48088888888888887,1.1274547211666195,0.6946813421312168,1125
avax,86,0.30411016640762356,0.7070451310327751,0.824177954503193,1.230159932698223,0.7053072572540705,0.793315633271864,0.5082191780821917,1.230159932698223,0.7913657118640386,730
link,86,0.1727112715778265,0.5860532248511787,0.6972982413857302,1.151889587832627,0.4857004245924325,0.9166024935832243,0.4933920704845815,1.151889587832627,0.7596481026597989,1589
ada,86,0.21529902183181582,0.6176440376235296,0.6874427620654464,1.1812862375471782,0.5172191903595909,0.7438072488677676,0.5084745762711864,1.1812862375471782,0.6228690954796737,1239
trx,86,1.921559645856731,0.45164432852067277,0.547507491706079,1.1338703042935203,0.3522973062466833,0.8525802734391682,0.5191135734072022,1.1338703042935203,0.6650404194723136,1805
sui,86,1.0125079783306683,0.651764413152381,0.8747636283401333,1.1701188995702758,0.6343688685290749,0.7044462608798762,0.4841075794621027,1.1701188995702758,0.6856446415852799,409
sol,86,1.0651567833027404,1.2826600089344045,1.6274992527704473,1.3673442535304399,1.389672428734036,0.7617866877965968,0.5045787545787546,1.3673442535304399,0.8253426077320638,1092
bnb,86,0.48399071116943526,0.9344765063018126,1.155124409076247,1.2729853470801893,0.7810595926300506,0.7383878626601776,0.5235294117647059,1.2729853470801893,0.6171636411649545,1700
btc,86,0.49864407628230945,1.1425903431005393,1.277733907078707,1.3123620275715833,0.7900822408618651,0.6327186447787113,0.5396137169885692,1.3123620275715833,0.43751443176503313,2537
xrp,87,-0.6227269190715647,0.18831034788222542,0.20637957765020334,1.0582308597814198,0.1369859396809106,0.920603078821825,0.4866270430906389,1.0582308597814198,0.6696906423029904,1346
eth,87,0.2074774773535586,0.6287154353800902,0.6339882476633668,1.165423529560141,0.4323051201328094,0.7590902497447004,0.5217665615141955,1.165423529560141,0.5219509226922965,1585
algo,87,0.27115204624982625,0.34786233558872154,0.34443101270691234,1.1193551549769876,0.30839603929662196,0.715422159716583,0.48868778280542985,1.1193551549769876,0.6342548126350902,663
vet,87,0.2276243120083674,0.633014808532029,0.6810604037047737,1.1976904119347846,0.5382164098666181,0.788615260159821,0.5092213114754098,1.1976904119347846,0.6705146046639002,976
atom,87,-0.7784194339661168,0.07030071180902987,0.06951927986836451,1.020528903089932,0.04899602216814452,0.9321278417788469,0.47440273037542663,1.020528903089932,0.6496457180035959,879
pol,87,-0.4524156691159882,-0.4781784234368441,-0.3276792388123579,0.8425945705721924,-0.2542553444187639,0.684678540746481,0.45323741007194246,0.8425945705721924,0.3640548583150896,139
tao,87,0.6198689580790315,0.9937273184596555,1.54192598657032,1.2460021463611508,1.3028726188546795,0.6008069267091617,0.4768339768339768,1.2460021463611508,0.7877159855491858,518
ltc,87,0.15183595161334074,0.5356124795948926,0.5715731846268088,1.1682408578443682,0.41064928526086836,0.8773557027721419,0.49164420485175203,1.1682408578443682,0.6726607500546418,1855
