asset,max_pivot_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
sol,7,0.4613597518499397,0.8863120558328009,1.237854100376482,1.183542191869114,1.0161199919626887,0.8734755452682135,0.5042553191489362,1.183542191869114,1.0014034652880497,1880
bnb,7,0.16160441117652558,0.5655548480985539,0.8187269104359989,1.1325741637201692,0.4865174541947166,0.9191204856217188,0.5050962627406569,1.1325741637201692,0.7906716037645325,2649
btc,7,0.23462333423918413,0.6573192161675743,0.8692853690358484,1.1400161755587253,0.6007420927014498,0.6000492697212959,0.518420355155049,1.1400161755587253,0.5484015150478273,3773
xrp,8,0.8325444534629418,0.4741614911513794,0.6287081794362112,1.1177130840111678,0.4490772766659064,0.896629637010808,0.504650222401941,1.1177130840111678,0.8491959028326134,2473
eth,8,0.2298311311645156,0.6421952228480973,0.8567634652452463,1.1362998911980802,0.5402131107552973,0.7882906019323397,0.5038015206082433,1.1362998911980802,0.6631081999651731,2499
algo,8,0.19427773167352247,0.6279510822716665,0.9615942509064793,1.1308169877103815,0.750045057906239,0.7251694369264449,0.4968152866242038,1.1308169877103815,0.8661658012335773,2041
vet,8,-0.4873802914617037,0.34918590346078,0.5061286309130109,1.0697973460494525,0.313239212715422,0.9551637782311845,0.49978438982319967,1.0697973460494525,0.8568351326388216,2319
atom,8,-0.974535112906193,-0.013817558658093046,-0.018891212087281974,0.9972408674180734,-0.012105003391996633,0.9818892040075947,0.47614363010329563,0.9972408674180734,0.8601933553663782,2033
pol,8,0.6478543357358533,0.5850512934407365,0.8891008043666022,1.1130873725699206,0.5871040140972168,0.6502946287492233,0.48822605965463106,1.1130873725699206,0.6525762632523816,637
tao,8,-0.8573906875811138,-0.06421099537836922,-0.08497069977493615,0.9883081936100003,-0.06322370292439361,0.9449779179588577,0.49710312862108924,0.9883081936100003,0.9304481701784854,863
ltc,8,1.3775052368117149,0.46397282094663617,0.6264608849046558,1.1060341473060669,0.4023245469671061,0.9334450824343083,0.4891335026813435,1.1060341473060669,0.8094178213776229,3543
xlm,8,-0.41599931308048343,0.39716756050839325,0.5252237605132546,1.093668526423814,0.35440058490276116,0.9777270281213744,0.5002007226013649,1.093668526423814,0.8724454489634252,2491
avax,8,0.3737188161230429,0.49140064950385,0.7749904882880639,1.1047000904984194,0.5183529077296476,0.8874225577102174,0.49019607843137253,1.1047000904984194,0.9360957573792711,1581
link,8,-0.985645095828956,0.09908781960751001,0.14185400901776835,1.019684008111645,0.09591922480145498,0.9979655406341823,0.47860855657736906,1.019684008111645,0.9660529560077293,2501
ada,8,0.34049423991158734,0.7582307612743557,1.1853470052855144,1.1871915266990898,0.7858100948103858,0.9812543327091898,0.4981259370314843,1.1871915266990898,1.0169457632177301,2668
trx,8,0.28335821328179245,0.6733831992138541,1.0900192709771215,1.2007208733500223,0.7139013537188968,0.9660733682942172,0.49727414330218067,1.2007208733500223,1.0242029890591107,2568
sui,8,0.5523633290530274,0.9417908016309173,1.452788244603604,1.1874681798552706,1.1355263811478438,0.711046234327394,0.5077658303464755,1.1874681798552706,0.8573153994457972,837
sol,8,0.6551073712835238,1.0106354270223503,1.3647715002081058,1.2260239602919782,1.200846030189833,0.7950245562418983,0.503562945368171,1.2260239602919782,0.9446552700802995,1684
bnb,8,0.15066915395094793,0.5513570462264166,0.7793566533456565,1.1326693758316135,0.4644392397764953,0.9294335845715758,0.5039936102236422,1.1326693758316135,0.782914502309454,2504
btc,8,0.2027680352549177,0.610914647419527,0.7868994176404729,1.1325990201299858,0.5193535520375882,0.6341657785123892,0.5177285318559557,1.1325990201299858,0.5391199098634746,3610
xrp,9,0.4473650781747487,0.44686988551021845,0.5820295771137751,1.1122119917553963,0.4084213892453297,0.9203869671267895,0.5066280033140017,1.1122119917553963,0.8411972610954185,2414
eth,9,0.22157291267861567,0.6316227467566774,0.8177108846111498,1.138102535040767,0.5208890680892919,0.7882906019323396,0.5050420168067227,1.138102535040767,0.6500905154738911,2380
algo,9,0.20801841998540982,0.6388928891583594,0.9604544428641134,1.136426901658855,0.7005665763397355,0.7820234687363218,0.49593082400813837,1.136426901658855,0.8575138546801603,1966
vet,9,-0.376329470583572,0.36222079628096904,0.5080862544117609,1.0750957493442734,0.3164919681801385,0.9630344899708072,0.5,1.0750957493442734,0.8414554997548891,2166
atom,9,-0.976730160682136,-0.04006663691150202,-0.05295163042482892,0.991752437232331,-0.034431159954764264,0.9835396319932093,0.47464715107161526,0.991752437232331,0.8452022181399167,1913
pol,9,0.2718077970467532,0.4466746389814293,0.6602297607974255,1.0874804544112213,0.4253715792806789,0.6760422390394586,0.48848684210526316,1.0874804544112213,0.6438000499343698,608
tao,9,-0.7497104714308214,0.07110438585029892,0.09402983923444835,1.0133265724639526,0.06928910598223138,0.9335934043424869,0.49700598802395207,1.0133265724639526,0.9097589630264254,835
ltc,9,-0.05938865551898631,0.38916875787929217,0.5129343831998355,1.0902319296138008,0.32442606978105315,0.9615289700312567,0.48727810650887576,1.0902319296138008,0.8015675935235791,3380
xlm,9,-0.7696280784982517,0.2993579481370696,0.3872810847899265,1.0718787056408505,0.261348097935974,0.9892286967637403,0.494732406236831,1.0718787056408505,0.8636251014271021,2373
avax,9,0.45676235034980217,0.4952191660416649,0.7872101225215166,1.1064214282748086,0.5098857641839183,0.9008525771761189,0.48838709677419356,1.1064214282748086,0.9275325678567377,1550
link,9,-0.9922082526129227,0.03429184081678406,0.04804159008398521,1.0069299445787323,0.03279591201711454,0.9988263625969451,0.4753344481605351,1.0069299445787323,0.9552540991637554,2392
ada,9,0.2463750317834228,0.6819800969333567,1.0399028781658337,1.1720749871400808,0.6927190868449992,0.9841619507230891,0.49624654286843145,1.1720749871400808,0.9996593315231485,2531
trx,9,0.24186273436073313,0.6379050499810364,1.0157880083316808,1.1947411840743565,0.6676342883335122,0.9701875962663367,0.4977669508729192,1.1947411840743565,1.0154026926147275,2463
sui,9,0.5783564271694643,0.9628526077917593,1.4405333431330567,1.1977546652968063,1.1447995694137303,0.711190875307602,0.5119496855345912,1.1977546652968063,0.8455821807351862,795
sol,9,0.5025720482309473,0.9080319609964538,1.2120214208692566,1.2034790639343755,1.0214106831061258,0.833300344327285,0.5012121212121212,1.2034790639343755,0.9373479244033195,1650
