asset,ema_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bonk,5,0.12910678690092214,2.2550366053033875,5.0,1.601179172282071,9.160391512110941,0.2307691779314547,0.625,1.601179172282071,0.9374286935336525,8
doge,5,0.036630714040575496,1.049532602588811,1.3618233161316737,1.2016106351584428,5.299395886102937,0.14020593267440062,0.5555555555555556,1.2016106351584428,0.7079406023111808,18
shib,5,-0.12000796772683708,-2.270445729767489,-1.6342054237708556,0.4789448401143582,-7.777812853412442,0.20000720370134864,0.4,0.4789448401143582,0.6851600015485669,5
pepe,5,-0.0004582698241671901,0.38888898922730925,0.23047864153368047,1.1491389750055323,2.3108820011071325,0.1428571242960267,0.5,1.1491389750055323,0.8488950996569636,4
bonk,6,0.12910678690092214,2.2550366053033875,5.0,1.601179172282071,9.160391512110941,0.2307691779314547,0.625,1.601179172282071,0.9374286935336525,8
doge,6,0.036630714040575496,1.049532602588811,1.3618233161316737,1.2016106351584428,5.299395886102937,0.14020593267440062,0.5555555555555556,1.2016106351584428,0.7079406023111808,18
shib,6,-0.12000796772683708,-2.270445729767489,-1.6342054237708556,0.4789448401143582,-7.777812853412442,0.20000720370134864,0.4,0.4789448401143582,0.6851600015485669,5
pepe,6,-0.0004582698241671901,0.38888898922730925,0.23047864153368047,1.1491389750055323,2.3108820011071325,0.1428571242960267,0.5,1.1491389750055323,0.8488950996569636,4
bonk,7,0.12910678690092214,2.2550366053033875,5.0,1.601179172282071,9.160391512110941,0.2307691779314547,0.625,1.601179172282071,0.9374286935336525,8
doge,7,0.036630714040575496,1.049532602588811,1.3618233161316737,1.2016106351584428,5.299395886102937,0.14020593267440062,0.5555555555555556,1.2016106351584428,0.7079406023111808,18
shib,7,-0.12000796772683708,-2.270445729767489,-1.6342054237708556,0.4789448401143582,-7.777812853412442,0.20000720370134864,0.4,0.4789448401143582,0.6851600015485669,5
pepe,7,-0.0004582698241671901,0.38888898922730925,0.23047864153368047,1.1491389750055323,2.3108820011071325,0.1428571242960267,0.5,1.1491389750055323,0.8488950996569636,4
bonk,8,0.12910678690092214,2.2550366053033875,5.0,1.601179172282071,9.160391512110941,0.2307691779314547,0.625,1.601179172282071,0.9374286935336525,8
doge,8,0.036630714040575496,1.049532602588811,1.3618233161316737,1.2016106351584428,5.299395886102937,0.14020593267440062,0.5555555555555556,1.2016106351584428,0.7079406023111808,18
shib,8,-0.12000796772683708,-2.270445729767489,-1.6342054237708556,0.4789448401143582,-7.777812853412442,0.20000720370134864,0.4,0.4789448401143582,0.6851600015485669,5
pepe,8,-0.0004582698241671901,0.38888898922730925,0.23047864153368047,1.1491389750055323,2.3108820011071325,0.1428571242960267,0.5,1.1491389750055323,0.8488950996569636,4
