asset,bbpct_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xrp,5,0.4039150766799866,0.7867735321133837,1.0892301995167901,1.303693666974662,0.6567102332449037,0.8796357775951792,0.47270114942528735,1.303693666974662,0.7342212124541114,1392
eth,5,0.276127795767513,0.7456720380967937,0.8689847277124377,1.2053212187236881,0.573587114936085,0.6217888210655583,0.4943968358602505,1.2053212187236881,0.4782934557728547,1517
algo,5,0.12790813823611002,0.3283995247066646,0.4031474765777444,1.0874486458248773,0.22562741218282492,0.9230595629300241,0.48826714801444043,1.0874486458248773,0.6341895307569065,1108
vet,5,0.20968956417200335,0.605187956376115,0.7750772665231759,1.1707614950810252,0.5340242818978901,0.7402390831016409,0.48513302034428796,1.1707614950810252,0.6531948308310848,1278
atom,5,-0.017603447027754404,0.30854823390794855,0.3631393323430523,1.0820976006114154,0.21571434340961715,0.9096106060739916,0.4815436241610738,1.0820976006114154,0.6359331640388308,1192
tao,5,1.1714639845522976,0.631298042210409,0.7921205660329417,1.166158677584227,0.6699600654609499,0.672785713490713,0.4866666666666667,1.166158677584227,0.7139885292107406,450
ltc,5,0.12253762717538819,0.47847511370568213,0.5915559213754302,1.1490966935442735,0.3185624190565776,0.9303179921675587,0.4730598121601582,1.1490966935442735,0.6193934471982889,2023
xlm,5,0.6215340682684269,1.002077053542933,1.4991162720148545,1.3730652738518996,0.9599657105199279,0.7309972326080078,0.48955223880597015,1.3730652738518996,0.7002777633791831,1340
avax,5,0.5531990432580194,0.9339758689609602,1.2399804494953284,1.2948058848500636,1.0741639384080814,0.6572583781899809,0.5100671140939598,1.2948058848500636,0.7559116584603844,894
link,5,0.706375197300044,1.0703370287460694,1.422559485900229,1.3227101903781002,0.9937446734409626,0.804016039489681,0.5070707070707071,1.3227101903781002,0.7464813746937309,1485
ada,5,0.8131915037093489,1.0417538764273078,1.8087722900261158,1.4299880167857109,1.2740015817020658,0.6883391571113869,0.4936260623229462,1.4299880167857109,0.8417968915218774,1412
trx,5,0.8221271448390979,1.021962505354077,1.7479158893751934,1.495105558039798,1.726425960582943,0.5167036497439058,0.5199742268041238,1.495105558039798,0.8728799639638133,1552
sui,5,0.9328454060035167,0.5885315512592605,0.8689135822517543,1.1643016761415441,0.6162216722396066,0.6162255689256354,0.460093896713615,1.1643016761415441,0.6452186798611893,426
sol,5,0.8640520405576624,1.2010538326489502,1.4901979399096186,1.354242749986307,1.3035920232579385,0.6867177045357724,0.5024061597690087,1.354242749986307,0.7453452106209532,1039
bnb,5,0.7737436301924547,1.2110332283028977,1.7278978945333556,1.4390697324775366,1.3420749620894963,0.553507963723041,0.5170857511283043,1.4390697324775366,0.613401153716351,1551
btc,5,0.46684702203839823,1.1736790939016484,1.3969172333153659,1.3493728186764058,0.7307718997776098,0.6267732556429557,0.5184518451845185,1.3493728186764058,0.39025001393982567,2222
xrp,6,0.3937089939295133,0.7760329133976587,1.0748729145517701,1.2972783492512292,0.6564904555249037,0.8755473589633465,0.4716031631919482,1.2972783492512292,0.7406753948140055,1391
eth,6,0.21508371086954425,0.6406064463164777,0.7362481085119185,1.1735291946500404,0.5097894786520294,0.6121827156118147,0.4888157894736842,1.1735291946500404,0.48717010143440254,1520
algo,6,0.10225345879295022,0.327027647009022,0.3943403410388343,1.087647769660059,0.22854325486407512,0.9144935632118895,0.4926605504587156,1.087647769660059,0.6390937812145441,1090
vet,6,0.31479590522674283,0.7322835544821729,0.9583431683498587,1.2131758817023255,0.6563059138044633,0.7245324361578119,0.4853057982525814,1.2131758817023255,0.6493590081096148,1259
atom,6,2.0576699772674174,0.4958314548475183,0.5758284968974291,1.1360250767993822,0.36675846336377016,0.8698043071912394,0.4902459711620017,1.1360250767993822,0.6433801002615926,1179
tao,6,0.8393274784244464,0.5694455484933565,0.7152894706065546,1.1496820893491273,0.5907447439511244,0.6802558544165983,0.4799107142857143,1.1496820893491273,0.7056997312593358,448
ltc,6,0.19378864213874603,0.5781347395516786,0.7188652407465979,1.182328184326461,0.3920985368693821,0.9248274195895797,0.47122479094933595,1.182328184326461,0.6272300439149548,2033
xlm,6,0.6859291409852533,1.0575530384048264,1.5995917361368943,1.393965540819283,0.974495172707074,0.7602753682390998,0.49629080118694363,1.393965540819283,0.70056503018952,1348
avax,6,0.4202736289806126,0.8179446244209386,1.055965264093454,1.2510425485584395,0.7695087559979297,0.7999423301127668,0.5055555555555555,1.2510425485584395,0.7525724956636839,900
link,6,0.4324122825610095,0.8520561997792018,1.0880081936741173,1.2380743033714816,0.6801237967671288,0.8844794064160426,0.49629130141604855,1.2380743033714816,0.7060044774158087,1483
ada,6,0.7482343520324743,0.9983047878594854,1.7061691631625964,1.4137755947207964,1.010448720671521,0.8317622998596773,0.49169675090252707,1.4137755947207964,0.8418803175311521,1385
trx,6,0.6559123266008415,0.9127008062076147,1.526372768071415,1.4342490665259968,1.5416001865589084,0.5160590236357443,0.5158781594296824,1.4342490665259968,0.8716511278410156,1543
sui,6,1.719608108390041,0.7341159246792611,1.0825547196845764,1.2099298828094414,0.8116329267043229,0.589314835029348,0.4724220623501199,1.2099298828094414,0.651541954377464,417
sol,6,0.9320506397042392,1.2507101151013713,1.5903206979704712,1.3706196731809004,1.445326176914309,0.6421573823543472,0.5014436958614052,1.3706196731809004,0.7420799298007461,1039
bnb,6,0.6446772825163731,1.0898698305930345,1.522022949604533,1.3851314447015854,0.9473551038638878,0.7033844611824096,0.5180180180180181,1.3851314447015854,0.6114077484988464,1554
btc,6,0.42735073254897515,1.1129783242174989,1.3146864671426512,1.3296834527231516,0.6764092733030885,0.6340076654528254,0.516941391941392,1.3296834527231516,0.3853162769895305,2184
xrp,7,0.4923549316950122,0.8607587152232306,1.2161434776573972,1.3415239204621288,0.8637802655750088,0.7520618145086213,0.4720229555236729,1.3415239204621288,0.7547018024634318,1394
eth,7,0.3335220557448024,0.8297196663321189,0.965054527814301,1.2300873770950154,0.7568294242332834,0.536682034846549,0.49608865710560623,1.2300873770950154,0.4895349259645929,1534
algo,7,1.9303882221756021,0.4974515890804686,0.5997204519415735,1.142724073001475,0.3657781945542267,0.9201645988253799,0.4939309056956116,1.142724073001475,0.6766008050616895,1071
vet,7,0.33889019268858633,0.7619920782446615,0.9757734469109329,1.2198858511107524,0.7242526715881428,0.6819626896641289,0.491725768321513,1.2198858511107524,0.6481869221665247,1269
atom,7,0.5763096661408107,0.3861635898046414,0.44422812143602,1.1063714420953976,0.2848601298446473,0.8636229126426851,0.48429319371727747,1.1063714420953976,0.6370661075443806,1146
tao,7,1.3015642949598845,0.6516343125764062,0.8247432731082928,1.1726639783559683,0.6570565746743939,0.6872208910650112,0.4888392857142857,1.1726639783559683,0.6929392697916229,448
ltc,7,0.2845688828936985,0.6948596770416225,0.8687486018478223,1.2238224787857177,0.5004843147340914,0.8699246950671354,0.47635467980295565,1.2238224787857177,0.6265778246546013,2030
xlm,7,0.6633751310045632,1.0370818138699038,1.5331220928619584,1.3896862137383437,0.9789510272004348,0.7449028003877813,0.4981132075471698,1.3896862137383437,0.7031493097762256,1325
avax,7,0.4104707068891411,0.8090359737213826,1.052713080188336,1.249689303309618,0.7708613002247401,0.7838069000764633,0.49944008958566627,1.249689303309618,0.7468226701204058,893
link,7,0.5849034318684176,0.9786495773112642,1.3071869149235762,1.2857225107578776,0.8411637128880757,0.8515404431285595,0.49630624580255206,1.2857225107578776,0.731911541600307,1489
ada,7,0.6222610767165146,0.9202945299700991,1.4613139307723106,1.3636959775382878,1.014786427439627,0.7458942179395398,0.4910265613783202,1.3636959775382878,0.8224794389415018,1393
trx,7,0.569732382631301,0.8519277630473612,1.4048838994812878,1.3958116311278141,1.1360151143396908,0.6541561028666381,0.5135658914728682,1.3958116311278141,0.8722936993341507,1548
sui,7,1.168837517389286,0.6400451004427027,0.9531502808565206,1.1783727506963029,0.6127874646191465,0.6661564457270795,0.47115384615384615,1.1783727506963029,0.6377868046086896,416
sol,7,0.9004107991662254,1.2311907488222116,1.5426095728229894,1.3639161202725845,1.3362970207535005,0.6807940702051347,0.5048543689320388,1.3639161202725845,0.738913193290361,1030
bnb,7,0.6701662638526049,1.103534638281012,1.5457204988152065,1.3846305087004114,1.0032996024614376,0.6878022695540201,0.5148828372387587,1.3846305087004114,0.6253285757215153,1579
btc,7,0.45984034057458456,1.1667310108759479,1.3719365965942587,1.3496559449658936,0.6375569980467714,0.7092768405081771,0.5191605839416058,1.3496559449658936,0.3875824067442847,2192
xrp,8,0.5490121144114222,0.921584255399192,1.267433166340726,1.36921860766238,0.9146305834973383,0.7372518253793222,0.4763636363636364,1.36921860766238,0.7316890054063292,1375
eth,8,0.25688588909057275,0.7068198348629317,0.8154312671544008,1.1919264364543758,0.5742794587167777,0.6087528167422799,0.490272373540856,1.1919264364543758,0.49460162384784306,1542
algo,8,1.2074824572399923,0.44537869223838306,0.5475211303768599,1.1263158664079818,0.33868318787675034,0.8644090043023486,0.4910292728989613,1.1263158664079818,0.6573300481330406,1059
vet,8,0.3498979620351992,0.774941730402185,0.9856306360949667,1.2248748961067717,0.7601049294886988,0.6598123861460689,0.4928343949044586,1.2248748961067717,0.6471798169741637,1256
atom,8,1.8395694485159901,0.4835368439526878,0.5587231365918216,1.134907610320004,0.3803538482313684,0.8187167377671836,0.4903508771929825,1.134907610320004,0.6440089637753641,1140
tao,8,1.2876689129785066,0.6500416597864681,0.810206008335222,1.1718030955241818,0.6646236973838764,0.6759084742295144,0.4933920704845815,1.1718030955241818,0.6910707682690369,454
ltc,8,0.2764417686426348,0.6855063729918307,0.8370643471553761,1.2214973373053795,0.5036782285615756,0.8498670526325989,0.4803970223325062,1.2214973373053795,0.6244428184009546,2015
xlm,8,0.7727360800250986,1.129875319429585,1.658162442392518,1.4379674588229874,1.2060223163707942,0.6556751439779062,0.5045871559633027,1.4379674588229874,0.6998638188912748,1308
avax,8,0.3773408966586409,0.7774908892977409,0.9904827048021099,1.2414681447471823,0.7113732906298937,0.8167006993952913,0.5045766590389016,1.2414681447471823,0.7472487099023453,874
link,8,0.6417488385909469,1.0271310801825007,1.4402706595759633,1.2996417584846494,0.967102735669362,0.7700055432079449,0.4969737726967048,1.2996417584846494,0.7250043170582111,1487
ada,8,0.6830205122874631,0.9655954178879546,1.5146803325873015,1.390294123213811,1.1930072713772022,0.6637953371771714,0.4956076134699854,1.390294123213811,0.8201288544748861,1366
trx,8,0.5101713041889768,0.8081178882518064,1.299811758189977,1.3729225707355457,1.1722511899709098,0.6015106260045399,0.5135834411384217,1.3729225707355457,0.8725478762007749,1546
sui,8,1.1198375099393583,0.6370768848894252,0.9035027464961981,1.17035679397877,0.5951545918689167,0.6585996049056914,0.48058252427184467,1.17035679397877,0.615261027922413,412
sol,8,0.9282714735005946,1.243687847272148,1.5620245182840458,1.369135849710033,1.295933228763107,0.7184324615041504,0.5058139534883721,1.369135849710033,0.7486126856730206,1032
