asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,5,-0.021441449276120905,-1.041661310828272,-1.8575881342619756,0.8225848191118348,-5.423013805666598,0.07205274489631609,0.3333333333333333,0.8225848191118348,0.37511523779086914,9
aave,5,-0.1507050605925092,-4.357734360869197,-3.5541926555222854,0.2960722795332332,-15.671057528814593,0.20113804278660966,0.2,0.2960722795332332,0.7233221620955852,5
uni,6,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,6,-0.021441449276120905,-1.041661310828272,-1.8575881342619756,0.8225848191118348,-5.423013805666598,0.07205274489631609,0.3333333333333333,0.8225848191118348,0.37511523779086914,9
aave,6,-0.20113804278660963,-7.18773481701232,-5.0,0.0,-22.262310565668997,0.20113804278660963,0.0,0.0,0.6229775706927903,4
uni,7,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,7,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,7,-0.20113804278660963,-7.18773481701232,-5.0,0.0,-22.262310565668997,0.20113804278660963,0.0,0.0,0.6229775706927903,4
uni,8,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,8,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,8,-0.20113804278660963,-7.18773481701232,-5.0,0.0,-22.262310565668997,0.20113804278660963,0.0,0.0,0.6229775706927903,4
uni,9,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,9,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,9,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,10,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,10,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,10,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,11,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,11,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,11,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,12,-0.021948460784343204,-4.582575694955841,0.0,0.0,-21.0,0.021948460784343204,0.0,0.0,0.10058048293202256,1
xmr,12,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,12,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,13,-0.021948460784343204,-4.582575694955841,0.0,0.0,-21.0,0.021948460784343204,0.0,0.0,0.10058048293202256,1
xmr,13,0.01606227105324942,0.9919118506975646,1.9685885242132042,1.1880166451732923,5.747066611580459,0.07205274489631609,0.4,1.1880166451732923,0.41746847179528235,10
aave,13,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
