asset,aroon_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
link,119,0.28033996868632327,0.7005154090069375,0.7667587890534595,1.198578576683256,0.6499631203808915,0.7832699379673057,0.5074946466809421,1.198578576683256,0.7267457167051917,1401
ada,119,0.1954476433065786,0.5869953930297092,0.6348119362226433,1.1860535489976098,0.527629567439916,0.7268719388282447,0.5118043844856661,1.1860535489976098,0.6533596876947704,1186
trx,119,0.9816312175738751,0.4049095604608878,0.46059209042791427,1.1213280486765091,0.29722932667283214,0.9032014145075703,0.5177345537757437,1.1213280486765091,0.6630071860453549,1748
sui,119,1.789172155408861,0.8110022946202929,1.1848350963061414,1.1904631148888165,0.8403816910462407,0.7089490615519238,0.4927536231884058,1.1904631148888165,0.7346314741212858,483
sol,119,0.7944489159924846,1.1228226527594725,1.4813869484489348,1.299574302355604,1.2642679723568206,0.7088578832482093,0.5026041666666666,1.299574302355604,0.798154825733944,1152
bnb,119,0.4828964195219607,0.9400128097743744,1.0350793573518635,1.3023483672524414,0.7631064658442215,0.7543685344073673,0.5264922870556673,1.3023483672524414,0.6123996399302942,1491
btc,119,0.3668242425703143,0.9138501664266667,0.9421967754378403,1.2545768247883704,0.608935081122159,0.6873230737621867,0.5293634496919918,1.2545768247883704,0.4579909782312162,2435
xrp,120,-0.6540577152142805,0.18961488302389265,0.21285508848208556,1.0574951407819835,0.14306224232173334,0.9145094912582599,0.4973404255319149,1.0574951407819835,0.6899868636758256,1504
eth,120,2.3551298780637215,0.4775878297207764,0.4574115966049962,1.1284978354612758,0.3340962232561521,0.7342695803392898,0.5170765027322405,1.1284978354612758,0.5136577575409781,1464
algo,120,0.02081651967243925,0.35796050256331935,0.3349480147203594,1.1081528159730403,0.33855355948576515,0.74151651117231,0.5163170163170163,1.1081528159730403,0.7013149564746878,858
vet,120,-0.001068216402970279,0.34686672603969476,0.3817177499457637,1.095059168449601,0.27460904315573814,0.889265027717549,0.4979457682826623,1.095059168449601,0.7040174223728547,1217
atom,120,-0.6101840389553972,0.22218438377548164,0.22718846328211387,1.0597612281399966,0.1830049014074335,0.8757563307488418,0.49099099099099097,1.0597612281399966,0.7213274769462592,1110
pol,120,-0.7035142214532757,-0.9415719700525602,-0.6910701231435221,0.7558974607709583,-0.5420509614875257,0.7594280723342086,0.47029702970297027,0.7558974607709583,0.4371930451226124,202
tao,120,0.5318836728878309,0.9292570333934499,1.4321162354776515,1.2295234614006612,1.2902830292982022,0.5471003292422832,0.4725490196078431,1.2295234614006612,0.759654481781997,510
ltc,120,0.28497895447542265,0.698972316457772,0.7652196091047341,1.214554219821016,0.5717797103092019,0.8528576074189592,0.5092373282804358,1.214554219821016,0.6976623597573802,2111
xlm,120,0.141851353459423,0.503966071815955,0.5930152627406343,1.18073956769831,0.44141539355347215,0.7789097010819228,0.497907949790795,1.18073956769831,0.6822338873067155,1195
avax,120,0.23637205787366122,0.6436588335299462,0.7558255217117136,1.188708484647996,0.693741219948127,0.7280355559578564,0.5083135391923991,1.188708484647996,0.7846832024131893,842
link,120,0.27060413705284025,0.68996855898353,0.7557053010142754,1.195495781827374,0.653949450871195,0.7665237467561257,0.5068002863278454,1.195495781827374,0.726508152790865,1397
ada,120,0.19973947839183293,0.5925133046752716,0.6412794210290176,1.1877700914160008,0.5460420073225104,0.709403085419842,0.5122362869198313,1.1877700914160008,0.653764028093392,1185
