asset,mom_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,130,0.3538931757928514,0.7689591734964888,0.8820909111805717,1.2361204210148993,0.7255429656720666,0.7504482889597132,0.5066225165562914,1.2361204210148993,0.7080772242817186,2114
xlm,130,1.0887801397937524,0.40504414414353157,0.5007011970583495,1.1400803916379874,0.3290399211994899,0.8383506202881214,0.49044056525353286,1.1400803916379874,0.6810389090315951,1203
avax,130,0.8528457957845512,0.4904187162540138,0.5744614632776525,1.1411493279024176,0.5122389549707637,0.7573354750953424,0.5012254901960784,1.1411493279024176,0.7910316622667232,816
link,130,0.3741875531091301,0.7925760291357726,0.9569979751782918,1.2116991242667872,0.704997289271075,0.8644746009067141,0.5047498416719443,1.2116991242667872,0.7689511515349214,1579
ada,130,0.35674289683330707,0.7772154701849615,0.9338130454374813,1.2388603386860682,0.682886571217925,0.7409459165229881,0.514820592823713,1.2388603386860682,0.6510189719613955,1282
trx,130,2.0005779285793395,0.4500541707803067,0.5455987526051086,1.1329394588087534,0.3276365278377217,0.8748779891230971,0.526258205689278,1.1329394588087534,0.6369055221529397,1828
sui,130,1.2057323722199795,0.7124655020041583,0.9919790242536148,1.176500093248141,0.7345344822193152,0.6961948193231977,0.49047619047619045,1.176500093248141,0.7177598068914641,420
sol,130,0.7922861158086014,1.120315569301071,1.4343408429502646,1.3016764089051436,1.2356936511511516,0.7275631265120581,0.5079646017699115,1.3016764089051436,0.8024927626450089,1130
bnb,130,0.6531474000085822,1.1239342527256864,1.387348564979477,1.347157729151527,1.0995090429817032,0.6125140554891927,0.5312891113892365,1.347157729151527,0.5992029705745908,1598
btc,130,0.4391591018344718,1.0295351049644985,1.1332895559204164,1.2775522144076688,0.714312852883531,0.6531009527753743,0.5384312179739851,1.2775522144076688,0.4531350145792423,2537
xrp,131,2.9930613080307378,0.5099602540206453,0.5863240260227095,1.1614544804248332,0.47510797004381716,0.7480825049297889,0.505464480874317,1.1614544804248332,0.6969561991160531,1464
eth,131,0.27800855209508435,0.7381034898454872,0.7266698104726305,1.2006205390498543,0.5769051564157773,0.6666959660343872,0.5273794002607562,1.2006205390498543,0.5210927002219585,1534
algo,131,-0.7823719884816812,0.11294726006689775,0.11124042004022637,1.0313030607268432,0.09048298494035506,0.8882055290990861,0.48839779005524864,1.0313030607268432,0.7115488013238364,905
vet,131,-0.40930933264760294,0.2846254410361402,0.30139205692405824,1.0772605243319007,0.23042932022714707,0.8836841552163696,0.5020781379883624,1.0772605243319007,0.7154200216281908,1203
atom,131,-0.4342134328624143,0.24288152500757146,0.25503729204484094,1.0672537340714,0.18060811633082297,0.9096151714412091,0.494716618635927,1.0672537340714,0.6763951383079222,1041
pol,131,-0.724025084071786,-1.1354433420109245,-0.7952681039690006,0.6937786447111093,-0.6191964816164643,0.749835920451087,0.44785276073619634,0.6937786447111093,0.40891143270140295,163
tao,131,1.2370293270337114,0.6918070718042413,1.0643406679123877,1.1631500493194324,0.7238771398303344,0.7145015681444287,0.46092184368737477,1.1631500493194324,0.7476236838744426,499
ltc,131,0.3565891257264886,0.7719166904700648,0.8851421543127043,1.2364715042743557,0.7492038153813082,0.7285115019394731,0.508235294117647,1.2364715042743557,0.7070757810274177,2125
xlm,131,1.145651810857904,0.4106549801390977,0.5075666354977103,1.1406267251636175,0.34076588235684585,0.8266524676495611,0.4921422663358147,1.1406267251636175,0.6859650343109208,1209
avax,131,0.45386901223834797,0.44436128278351916,0.5186609813703383,1.127381015868701,0.4535995889844259,0.7715322904420931,0.5006119951040392,1.127381015868701,0.7875725077588286,817
link,131,0.3987993492267936,0.81504644987118,0.9895637169946007,1.2184023030457622,0.743481607802154,0.8484628457526058,0.5041269841269841,1.2184023030457622,0.7739638898129552,1575
ada,131,0.3627772992252989,0.7839467421427176,0.9409016781487388,1.241942843781003,0.7636824626189401,0.6683571733468097,0.51328125,1.241942843781003,0.6510807745121093,1280
trx,131,0.1976854710662148,0.5760973750609092,0.7028720571811486,1.1732875972453394,0.4263544648226592,0.8613691040176202,0.5308574549426542,1.1732875972453394,0.6374765434738837,1831
sui,131,1.6066583335167377,0.7889086837800338,1.1011420763061812,1.1969740970615266,0.8403478635303337,0.6768271092026933,0.4916467780429594,1.1969740970615266,0.7209582387566691,419
sol,131,0.9119252964910625,1.2015796920638577,1.5425898716772608,1.326832301903556,1.3157993598800508,0.731525953803937,0.51105216622458,1.326832301903556,0.8010632903570327,1131
bnb,131,0.4751500168761653,0.9326635538939051,1.1464379557853246,1.2793114867041917,0.8640835981102342,0.6490818934776486,0.5202744853399875,1.2793114867041917,0.6013540634698918,1603
btc,131,0.4408287205682022,1.0291549613085107,1.1374839590419965,1.277130629713366,0.7226551938572058,0.6485242824364265,0.5370662460567823,1.277130629713366,0.4553827738918227,2536
xrp,132,0.15028456494592546,0.5292270643053069,0.6235418089805459,1.1700619084970993,0.49636659274358613,0.7508576007271447,0.5023989033584647,1.1700619084970993,0.7042357695704481,1459
eth,132,0.2932016693695507,0.7603431810745086,0.7494803888363814,1.206557910457483,0.5676844830125172,0.6993579582896307,0.5289902280130293,1.206557910457483,0.5221519320148066,1535
algo,132,-0.7446514031517666,0.137708821251805,0.13561008645722888,1.0382777349696586,0.1132148147776871,0.8639008765925816,0.4894561598224195,1.0382777349696586,0.7102404685526177,901
vet,132,-0.37158270829690554,0.29460347615971805,0.31441669966961217,1.0799359466742435,0.23732197746691086,0.8913587276859122,0.4971002485501243,1.0799359466742435,0.7180465710870478,1207
atom,132,-0.782740604259625,0.0895925739924128,0.09412280378866775,1.0242281014230386,0.06425901641117003,0.9476670519948734,0.4880611270296084,1.0242281014230386,0.6797008940899579,1047
pol,132,-0.7608054315601239,-1.3401263723175147,-0.9086024342960328,0.6416375771077454,-0.6907342434993269,0.7692809935141856,0.4394904458598726,0.6416375771077454,0.39650643108718325,157
tao,132,1.2906500723658358,0.7020290175751747,1.0861251427124536,1.1644795616771846,0.7659649502122287,0.6874546197285251,0.4623015873015873,1.1644795616771846,0.7500632173187065,504
ltc,132,0.36517330938822123,0.7800921821639435,0.9030172178136696,1.2390034724282741,0.7662448529993598,0.722338288911596,0.5093808630393997,1.2390034724282741,0.7095161426531954,2132
