asset,willr_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
btc,78,0.37201194211312916,0.9663947517294996,1.0272549080076083,1.2733765241004669,0.593879043784321,0.6779152960100802,0.5366912722535823,1.2733765241004669,0.4165996214701316,2303
xrp,79,-0.5510530035863614,0.13053519978710054,0.12697106532074504,1.0432364986384082,0.07860752092712674,0.9017005288595689,0.4801110083256244,1.0432364986384082,0.542998695431837,1081
eth,79,0.2476029124035699,0.7055100970691349,0.7203068249875434,1.1921653278139626,0.538091147533454,0.6198477455580801,0.5146958304853042,1.1921653278139626,0.47275664244772353,1463
algo,79,1.6267909075565479,0.4716650513274395,0.5232247127139005,1.1591873981852128,0.4061225074801211,0.7300021501241647,0.48356164383561645,1.1591873981852128,0.6285611003824191,730
vet,79,0.161159611126223,0.5474141800509692,0.5903089967076325,1.1673401048399343,0.41422457262455775,0.8552141533464699,0.5,1.1673401048399343,0.6471347109412301,1002
atom,79,0.9411122863393091,0.41682383062520795,0.4617966831932941,1.1239202213820911,0.33979708820060683,0.7600872786921999,0.47854077253218885,1.1239202213820911,0.6196273463792527,932
pol,79,-0.46040787309399533,-0.38018143965286777,-0.3219952967574722,0.8873910302948433,-0.2618533752151182,0.6011692795188313,0.4463276836158192,0.8873910302948433,0.4140607312692083,177
tao,79,2.2796728001163036,0.8260353890985945,1.1251986000480565,1.2248296749506355,0.9518812096134394,0.6138733397813452,0.46798029556650245,1.2248296749506355,0.707396444428561,406
ltc,79,0.28014205685231874,0.6920566097765666,0.7141033475278495,1.2441887982824578,0.4903505899859191,0.8991474975884602,0.5025,1.2441887982824578,0.6370830069366867,1600
xlm,79,-0.5793229052533374,0.1612028321467179,0.18911432340370019,1.0593309253189347,0.11778408621782258,0.868006752077967,0.47729468599033814,1.0593309253189347,0.6342157936242249,1035
avax,79,0.31067683884058384,0.7113622567620252,0.8172424627726932,1.240840196491346,0.6591254882905069,0.807986212067429,0.5076708507670851,1.240840196491346,0.7486541512408382,717
link,79,1.2206588640423055,0.442738219350973,0.4913177897958073,1.1232018303757778,0.3542256044391253,0.8540606395554566,0.4793814432989691,1.1232018303757778,0.6833160839777693,1358
ada,79,0.27812290708595677,0.714920816507456,0.7658295415595635,1.2296860885191914,0.546606487435613,0.7186116476035488,0.4976613657623948,1.2296860885191914,0.5494283834758052,1069
