total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,omega_ratio,calmar_ratio,num_trades,avg_return,std_return,asset,fast_period,slow_period,adosc_combination,period_ratio
10.0,0.23228849636464033,0.7618811508094819,0.3048880998274323,0.43738022746587046,0.7659063557641896,0.270653301071552,1.261975820227638,0.30328576674738844,2893,0.0022936188333034548,0.0479940012768949,xrp,2,5,2-5,2.5
10.0,0.23228849636464033,0.5259921282123012,0.4416197199644857,0.5416017732707649,0.6279227481874214,0.29899758036640167,1.2719714360775844,0.36993164690269703,2893,0.0021495112704239916,0.03313438959112738,eth,2,5,2-5,2.5
4.014807099874775,0.19286228230484292,0.6812031171985208,0.2831200818604559,0.3628864342488986,0.8947236472805494,0.2521701388888889,1.1632090374571298,0.21555514140152043,2304,0.0015789039023764806,0.042911762867363624,algo,2,5,2-5,2.5
10.0,0.2587388224465612,0.6690297716974195,0.38673738209004604,0.4951139008147358,0.7549229525032232,0.26047220106626046,1.1817610663869877,0.34273540311447415,2626,0.0017813008707173745,0.04214491418118312,vet,2,5,2-5,2.5
-0.12013537461100987,-0.013332208750453267,0.6526655285215835,-0.020427321756449058,-0.02457018385265944,0.8135431108950255,0.2580108198085726,1.0760487778419687,-0.01638783313620066,2403,0.0007771195931591517,0.041114063756491515,atom,2,5,2-5,2.5
-0.4679236453440121,-0.2001413325187016,0.5143049632111123,-0.38914913686443936,-0.44473100635264656,0.7222180109292262,0.2303370786516854,0.9585378373653503,-0.27712038399761596,712,-0.00036185088683706324,0.03239816739768634,pol,2,5,2-5,2.5
5.369020183476276,0.6333022605165797,0.7424989012526875,0.8529335995623972,1.1511145120781583,0.6932702383562109,0.2334384858044164,1.2919412275344175,0.913499852551266,951,0.0030027365622170375,0.04677303432031704,tao,2,5,2-5,2.5
10.0,0.16125077273812938,0.6559457190465348,0.24582944602873422,0.31948545830930414,0.7794639978281857,0.27164769915883225,1.2382133665957735,0.2068739200109577,4042,0.0020169881617298577,0.041320696337013685,ltc,2,5,2-5,2.5
10.0,0.23228849636464033,0.7443286720795869,0.312077856299217,0.44073445861642246,0.8602615011947667,0.2637400622191497,1.2471043847567116,0.2700207972134385,2893,0.0022171205905291386,0.04688829904803649,xlm,2,5,2-5,2.5
10.0,0.3870272046187335,0.7324558082276881,0.5283966626672225,0.7299668226790794,0.6821712902568909,0.23768272874932322,1.3894485676948714,0.567346075899775,1847,0.003403002944743778,0.04614037892655429,avax,2,5,2-5,2.5
10.0,0.23228849636464033,0.7419456968224789,0.3130801854629783,0.4194010864998762,0.8591409123272088,0.26304873833390946,1.2152903699811024,0.2703729889145029,2893,0.002310720963924867,0.04673818571682868,link,2,5,2-5,2.5
10.0,0.2323775008939355,0.7933787388812611,0.2928960526741739,0.437946354989059,0.6294035807938203,0.25622406639004147,1.3410723873126336,0.36920269916617715,2892,0.0031688205567480627,0.04997816282299686,ada,2,5,2-5,2.5
10.0,0.23246657343195953,0.7574448494463983,0.30690891040036095,0.39349125522333345,0.7155839081675959,0.2964372189553788,1.3216518537056805,0.32486277399283536,2891,0.0026047020266970413,0.04771454055909356,trx,2,5,2-5,2.5
3.2100847873358775,0.5009601489105748,0.6602959438214624,0.7586903321127012,1.2093379054477784,0.6551658618712409,0.23094170403587444,1.2615687909230777,0.7646310317203737,892,0.0024323757028420394,0.04159473473943489,sui,2,5,2-5,2.5
10.0,0.3507117100218107,0.7715390207370764,0.4545612089544925,0.5516987135982602,0.7493695919696536,0.24676616915422886,1.3601875312844522,0.4680089955344933,2010,0.003546546272482923,0.04860238989649072,sol,2,5,2-5,2.5
10.0,0.23228849636464033,0.6571149300314013,0.35349751732705276,0.5344883426372866,0.4822422964896675,0.32215693052194955,1.4037605720034723,0.4816842032636126,2893,0.003300456677580731,0.04139434970596897,bnb,2,5,2-5,2.5
10.0,0.16112202514712104,0.42489155166732195,0.37920741072600805,0.4428842988361915,0.6821782839506253,0.3216316440049444,1.285185310867472,0.2361875611372917,4045,0.0017651561328777432,0.02676565190200203,btc,2,5,2-5,2.5
10.0,0.2323775008939355,0.7615196153963749,0.30514972457141737,0.45723892320966014,0.8269078485441468,0.26867219917012447,1.2409703523030946,0.2810198274246146,2892,0.0021492512205560504,0.04797122668658004,xrp,2,6,2-6,3.0
10.0,0.2323775008939355,0.5315407552730478,0.4371772034198304,0.5336065170068472,0.6418561515162163,0.30255878284923926,1.276795146980565,0.3620398438887043,2892,0.002214889278663832,0.03348392024161735,eth,2,6,2-6,3.0
5.523457672896481,0.2277846408966857,0.6784041132776792,0.33576541833768425,0.42959264086113735,0.8347123767475305,0.25141120277898393,1.1768312283543283,0.27288997652610836,2303,0.0016859731725291046,0.04273544219371502,algo,2,6,2-6,3.0
10.0,0.2588491696637665,0.6698638674313735,0.38642055833872124,0.4982693673519385,0.7127375893526753,0.2632380952380952,1.1937944396508244,0.36317597602626694,2625,0.0018992037291202396,0.042197457273603654,vet,2,6,2-6,3.0
-0.5154340573945717,-0.0731924525416986,0.6532952341845351,-0.11203579746461775,-0.13538449847058714,0.8831943992878649,0.25770191507077433,1.0508621446592947,-0.08287241472626519,2402,0.0005316160475389257,0.041153731484666244,atom,2,6,2-6,3.0
-0.3241881713181862,-0.12966772349755262,0.5157079261919364,-0.25143635944290843,-0.2853002883303047,0.6804720569065518,0.23628691983122363,0.9971425574576263,-0.1905555447596575,711,-2.442896466674311e-05,0.03248654575830278,pol,2,6,2-6,3.0
