asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,5,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,5,-0.1428754764722524,-4.12000620173689,-3.4200511792725297,0.309032662871782,-16.10758838417456,0.18402838519447945,0.16666666666666666,0.309032662871782,0.7194779169185096,6
uni,6,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,6,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,6,-0.1428754764722524,-4.12000620173689,-3.4200511792725297,0.309032662871782,-16.10758838417456,0.18402838519447945,0.16666666666666666,0.309032662871782,0.7194779169185096,6
uni,7,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,7,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,7,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,8,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,8,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,8,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,9,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,9,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,9,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,10,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,10,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,10,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,11,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,11,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,11,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,12,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,12,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,12,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,13,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,13,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,13,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,14,-0.06557723087640699,-2.6822564979412475,-2.9916285496908905,0.5136537658370564,-10.623604690048719,0.12335439326345632,0.2,0.5136537658370564,0.48856934891111725,5
xmr,14,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,14,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,15,-0.06557723087640699,-2.6822564979412475,-2.9916285496908905,0.5136537658370564,-10.623604690048719,0.12335439326345632,0.2,0.5136537658370564,0.48856934891111725,5
xmr,15,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,15,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,16,-0.06557723087640699,-2.6822564979412475,-2.9916285496908905,0.5136537658370564,-10.623604690048719,0.12335439326345632,0.2,0.5136537658370564,0.48856934891111725,5
xmr,16,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,16,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,17,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,17,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,17,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,18,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,18,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
aave,18,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,19,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,19,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
aave,19,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,20,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,20,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
aave,20,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,21,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,21,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
aave,21,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,22,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,22,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
aave,22,-0.18985213747199647,-5.542947814036665,-5.0,0.24366145238300818,-17.99000688887466,0.2287495673353983,0.14285714285714285,0.24366145238300818,0.7424219801907183,7
uni,23,-0.1233543932634561,-7.9390497987142705,-5.0,0.0,-21.843707103712138,0.1233543932634561,0.0,0.0,0.3394004704239837,4
xmr,23,-0.0030715566654896387,0.007162737257029672,0.013089855796431925,1.0012501905514415,0.028130218408962092,0.09788216575590822,0.4,1.0012501905514415,0.38441263475826,10
