asset,adx_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
atom,29,-0.3218979577523098,0.11200652110728943,0.08473294642032235,1.0464976334556002,0.059774866506000196,0.803600169265915,0.48427672955974843,1.0464976334556002,0.42885978751234594,477
pol,29,-0.6205190513833607,-0.7511587431455476,-0.5748916398036705,0.7876588474826786,-0.3972096129758978,0.7377086520000602,0.4787234042553192,0.7876588474826786,0.39009726083044133,188
tao,29,1.6115601358367746,0.7349135915946835,0.7704745190055097,1.28882572408801,1.03091994621979,0.4306897116234848,0.47058823529411764,1.28882572408801,0.6041616584894738,221
ltc,29,0.12898007571712444,0.487901688642734,0.3605597878498784,1.2200573829939176,0.33473394677686985,0.7621310230277111,0.5016322089227421,1.2200573829939176,0.5228740363839247,919
xlm,29,1.4081811573262075,0.38557309455365146,0.27120450086136355,1.1896442487297987,0.25855089958600147,0.619323807442381,0.525096525096525,1.1896442487297987,0.4152953870773106,518
avax,29,0.30488396541599294,0.704059417647854,0.7281433651413675,1.3112949361365098,0.6454715232732599,0.7042954871026541,0.5123042505592841,1.3112949361365098,0.6456879483458726,447
link,29,-0.11456623614430994,0.2547606274984759,0.17344569959733963,1.1227523347302393,0.1789351322759875,0.803705410041696,0.48975409836065575,1.1227523347302393,0.5644951312486386,488
ada,29,0.14273562647598959,0.5218818193562346,0.3816442666030161,1.2487960403007214,0.31852307360645354,0.6812821981999592,0.5114503816793893,1.2487960403007214,0.415810805656531,524
trx,29,-0.6892928243165324,0.03723882833882982,0.025440513647491798,1.0202320841602528,0.02252559321772971,0.8672422413697065,0.48939929328621906,1.0202320841602528,0.5245907785438139,566
sui,29,1.7962539535430406,0.8704091666183157,1.0613567547814997,1.366614894546857,0.9089691436659182,0.4569181502492191,0.4909090909090909,1.366614894546857,0.47716007101700547,220
sol,29,0.9036305278755363,1.2590611436551518,1.1660098693966652,1.5560765666646705,1.5774384249699245,0.5584274192805582,0.5161904761904762,1.5560765666646705,0.6996362910324327,525
bnb,29,0.4361181346082601,0.9020689840690921,0.7673546898505339,1.4360059714478184,0.7268079828385327,0.7054003120838637,0.5395778364116095,1.4360059714478184,0.5683496350874158,758
btc,29,0.32410271929855194,0.9554321297349665,0.7963781147841281,1.3649129123070693,0.9071533142192524,0.38082811937854355,0.552,1.3649129123070693,0.36158454367445536,1250
xrp,30,-0.7458750548381141,0.008518205449317324,0.005704965855054371,1.0037450953814508,0.004761936214709703,0.9002652538794871,0.48006644518272423,1.0037450953814508,0.5032756888526478,602
eth,30,-0.038266740429268586,0.24734660159511823,0.18559102587537155,1.084113669652638,0.16291324307439822,0.7513171597474123,0.5228758169934641,1.084113669652638,0.49485019920448503,918
algo,30,-0.48322185690760644,0.08485941367685995,0.06315830708731435,1.0338520791643335,0.05316783844134026,0.7729716127103723,0.48131868131868133,1.0338520791643335,0.4842978291226867,455
vet,30,0.147653573962639,0.520420724714855,0.38723071670076964,1.2366550381655839,0.3876311262549432,0.658581803064408,0.5236051502145923,1.2366550381655839,0.49053927702964273,466
atom,30,-0.018069025482007395,0.20242547215302562,0.1489561192577384,1.0881627099875761,0.11759346796896868,0.7315567069656084,0.49217002237136465,1.0881627099875761,0.4249775943366061,447
pol,30,-0.5432626970618667,-0.5721852068326092,-0.4248093107924933,0.8276072863721834,-0.330880677693787,0.6748334634866284,0.49142857142857144,0.8276072863721834,0.39023964804148387,175
tao,30,0.7474413832555575,0.5493284822900882,0.5508012888999319,1.2128169245791918,0.728619163099055,0.4481239040962921,0.4716981132075472,1.2128169245791918,0.5943832779362384,212
ltc,30,0.18396074384287098,0.5778215944496208,0.4406857256912216,1.2706168055331095,0.5178939036090445,0.5669254286415533,0.5062429057888763,1.2706168055331095,0.5081278133505339,881
xlm,30,1.2539159611080475,0.370475748375276,0.2502520659814352,1.1930348726834457,0.23203069950316133,0.6466640290534952,0.5268817204301075,1.1930348726834457,0.40500871558487295,465
avax,30,0.3163172395593783,0.7177305465513459,0.7322806131162594,1.3241957585986475,0.6435697178092853,0.7181194976115948,0.5116279069767442,1.3241957585986475,0.6439184797858917,430
link,30,-0.21313989377530784,0.2302934741749473,0.1510904501612312,1.1139515821886812,0.16303351065799462,0.7817756670989163,0.49134199134199136,1.1139515821886812,0.5534487332337853,462
ada,30,1.0462530694012475,0.3527397241091549,0.23949843475805574,1.1675334363578453,0.19028712517953011,0.7222234282558548,0.5082644628099173,1.1675334363578453,0.3896068701850653,484
trx,30,-0.6883514558593364,0.0299169353492975,0.02020369955331541,1.0167187753318514,0.018610463648841665,0.8306357684052899,0.489010989010989,1.0167187753318514,0.5167145829894406,546
sui,30,1.8877910358441854,0.8978583653300317,1.078461333337279,1.3990705622474637,0.9183424666298449,0.4603291210372391,0.4925373134328358,1.3990705622474637,0.4708312544590453,201
sol,30,0.8282132705583924,1.2150691902673774,1.0905386961101178,1.5418029528106314,1.4869178252237878,0.5584274192805582,0.5128205128205128,1.5418029528106314,0.6833649396041912,507
bnb,30,0.3949075145639973,0.8731345031874745,0.7028305247454303,1.4215553486749664,0.6712304571758305,0.6995456176355754,0.5421853388658368,1.4215553486749664,0.5377823497144008,723
btc,30,0.35710957916240726,1.0322047026112686,0.848860040330195,1.4095277859171202,0.9728538874963567,0.37866021098577163,0.5549084858569051,1.4095277859171202,0.3568875992966988,1202
xrp,31,-0.7589796341970346,-0.03787762828944871,-0.02400666663178827,0.983365891647242,-0.019209043522089478,0.9164873597001889,0.4823943661971831,0.983365891647242,0.46478215175974613,568
eth,31,-0.3979912296581448,0.15679148947239718,0.11372916265498814,1.054075870298815,0.09793299892232939,0.7762917775209991,0.5222857142857142,1.054075870298815,0.48487696664659297,875
algo,31,-0.4463454379349012,0.08989517533312216,0.06480162111750684,1.0373288223555204,0.05305179146235283,0.7977549280083751,0.48009367681498827,1.0373288223555204,0.47079643509155955,427
vet,31,2.641693524094957,0.4986070340694432,0.35202093851456373,1.2390543523507584,0.3626665429881482,0.6585818030644076,0.5214285714285715,1.2390543523507584,0.4790257045571585,420
atom,31,-0.5572494308187628,-0.01925613186541308,-0.013326286302450852,0.9917186780310784,-0.010976715121062767,0.7079516647897294,0.4807692307692308,0.9917186780310784,0.4035589181769596,416
