fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
5,10,-0.1085,0.1253,4,-0.0312,0.0468,0.0671,0.0659,0.0,0.0,0.0417,0.0481,0.2945,0.5815,0.14779,ADOSC,matrix
6,9,-0.1085,0.1253,4,-0.0312,0.0468,0.0671,0.0659,0.0,0.0,0.0417,0.0481,0.2945,0.5815,0.14779,ADOSC,matrix
7,8,-0.1085,0.1253,4,-0.0312,0.0468,0.0671,0.0659,0.0,0.0,0.0417,0.0481,0.2945,0.5815,0.14779,ADOSC,matrix
2,29,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
2,30,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
2,31,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
3,26,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
3,27,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
4,25,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
5,23,-0.0284,0.0958,4,-0.0503,0.1098,0.0601,0.1038,-0.0843,0.2106,0.0417,0.0481,0.4815,0.6956,0.14411000000000002,ADOSC,matrix
