asset,ema_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bonk,5,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,5,0.17000684236548258,5.68228302327025,5.0,2.8585531332070127,60.17040178562336,0.05792289389868931,0.5833333333333334,2.8585531332070127,0.6133527288586816,12
shib,5,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,5,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,6,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,6,0.17000684236548258,5.68228302327025,5.0,2.8585531332070127,60.17040178562336,0.05792289389868931,0.5833333333333334,2.8585531332070127,0.6133527288586816,12
shib,6,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,6,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,7,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,7,0.17000684236548258,5.68228302327025,5.0,2.8585531332070127,60.17040178562336,0.05792289389868931,0.5833333333333334,2.8585531332070127,0.6133527288586816,12
shib,7,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,7,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,8,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,8,0.17000684236548258,5.68228302327025,5.0,2.8585531332070127,60.17040178562336,0.05792289389868931,0.5833333333333334,2.8585531332070127,0.6133527288586816,12
shib,8,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,8,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,9,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,9,0.0667104393185538,2.3893321145874955,5.0,1.5432531595565953,15.238027586411011,0.10143003592776935,0.5,1.5432531595565953,0.6468726871922731,12
shib,9,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,9,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,10,-0.20730357586840098,-3.469083110963046,-5.0,0.5323291039126568,-13.607779094059213,0.3066666189687225,0.2857142857142857,0.5323291039126568,1.202926385147899,7
doge,10,0.07872360657893673,2.764097077826134,5.0,1.6528982446261204,17.556623503461164,0.10143003592776943,0.5833333333333334,1.6528982446261204,0.6442497866706259,12
shib,10,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,10,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,11,-0.09406129577387312,-1.115802928188723,-2.953059875394344,0.8174872324286969,-5.339651538163707,0.2571428349932599,0.42857142857142855,0.8174872324286969,1.2305516500377058,7
doge,11,0.07872360657893673,2.764097077826134,5.0,1.6528982446261204,17.556623503461164,0.10143003592776943,0.5833333333333334,1.6528982446261204,0.6442497866706259,12
shib,11,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,11,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,12,-0.09406129577387312,-1.115802928188723,-2.953059875394344,0.8174872324286969,-5.339651538163707,0.2571428349932599,0.42857142857142855,0.8174872324286969,1.2305516500377058,7
doge,12,0.07872360657893673,2.764097077826134,5.0,1.6528982446261204,17.556623503461164,0.10143003592776943,0.5833333333333334,1.6528982446261204,0.6442497866706259,12
shib,12,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,12,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,13,-0.09406129577387312,-1.115802928188723,-2.953059875394344,0.8174872324286969,-5.339651538163707,0.2571428349932599,0.42857142857142855,0.8174872324286969,1.2305516500377058,7
doge,13,0.1524916808371155,5.105898227312331,5.0,2.5588186656074607,44.824655609277904,0.07070586551396524,0.6666666666666666,2.5588186656074607,0.6207264481430368,12
shib,13,-0.09877211124126051,-2.3649158614059496,-5.0,0.5309561413874668,-10.342417261575385,0.18181824195006246,0.5,0.5309561413874668,0.7951403915468217,4
pepe,13,-0.10900021295462825,-1.1928415597006803,-5.0,0.7570721553445092,-5.5266084014711225,0.2857142485920534,0.5,0.7570721553445092,1.3237556604626328,4
bonk,14,0.1846890455047061,3.51626810450363,5.0,1.8949606463974786,54.950283409764374,0.07692310383120457,0.5714285714285714,1.8949606463974786,1.202111508752577,7
