indicator,description,threshold,type,total_tests,total_assets,best_sharpe_ratio,avg_sharpe_ratio,worst_sharpe_ratio,std_sharpe_ratio,best_sortino_ratio,avg_sortino_ratio,worst_sortino_ratio,std_sortino_ratio,best_total_return,avg_total_return,worst_total_return,std_total_return,best_max_drawdown,avg_max_drawdown,worst_max_drawdown,std_max_drawdown,best_win_rate,avg_win_rate,worst_win_rate,std_win_rate,best_omega_ratio,avg_omega_ratio,worst_omega_ratio,std_omega_ratio,best_calmar_ratio,avg_calmar_ratio,worst_calmar_ratio,std_calmar_ratio,best_parameter,best_asset,best_sharpe,best_return,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema,best_fast_period,best_slow_period,best_fast_hma,best_slow_hma
EMA,Price > EMA = Long,,single_param,584,4,7.176148559370786,3.6731408721880765,-3.469083110963046,2.430304790401022,5.0,2.0396246924209196,-5.0,3.1395997435563907,0.21331931806832394,0.1462239480136839,-0.20730357586840098,0.09015697681174117,0.3066666189687225,0.10723935011126888,0.04618214554552761,0.05666481497266015,0.75,0.682424168297456,0.2857142857142857,0.10079582475030636,3.8456249988345994,2.334748724126777,0.5309561413874668,0.9164443117479955,92.01029587603917,43.98540988094246,-13.607779094059213,31.205262799280803,20,doge,7.176148559370786,0.21331931806832394,,,,,,,,
RSI,RSI > 50 = Long,50.0,single_param,584,4,0.0,-0.1999918520596021,-7.442279197229561,0.9793256367834032,0.0,-0.025684931506849314,-5.0,0.3577486445415976,0.0,-0.003769218934370141,-0.19111106826380386,0.02004170090160796,0.19111106826380386,0.0037601862682285652,0.0,0.02001604309991317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8692177966985929,-23.33826064530825,4.203538384420684,8,bonk,0.0,0.0,,,,,,,,
CCI,CCI > 0 = Long,0.0,single_param,584,4,0.0,-0.48019174569393847,-6.797058187186572,1.455526852298245,0.0,-0.11101368690735039,-5.0,0.6509451975326832,0.0,-0.01057355631019937,-0.26530609062992294,0.03560638950607093,0.26530609062992294,0.011361754988126636,0.0,0.036263839719068165,0.3333333333333333,0.0049372146118721455,0.0,0.03451142639344126,0.7857721130759113,0.014373220798075311,0.0,0.09949962678005311,0.0,-2.0646921606506665,-22.615384389356354,6.125581623944234,21,bonk,0.0,0.0,,,,,,,,
ADX,ADX > 25 = Long,25.0,single_param,438,3,0.2951897520716116,-0.6770039966960362,-7.176148559370786,1.7087292124389515,0.1614267279254006,-0.6184642031910076,-5.0,1.5179855013641248,0.0,-0.026350472143060168,-0.22126401182135202,0.0632740513541681,0.22250164465581063,0.033469595962050284,0.0,0.07544309209259721,0.5,0.04121004566210045,0.0,0.09557715812844314,1.1000000363797895,0.07158641384657864,0.0,0.17548925695444018,2.10000076397558,-2.678283951307537,-22.240256210134746,6.303854231564721,33,shib,0.2951897520716116,0.0,,,,,,,,
AROON,Aroon > 0 = Long,0.0,single_param,584,4,4.58257569495584,-0.2756658378602039,-8.992112147823066,1.2440207404237695,5.0,-0.06504189446940697,-5.0,0.605620781093101,0.10000003637978905,-0.0064406920507624945,-0.26530609062992294,0.029411027395337925,0.26530609062992294,0.00813784814924479,0.0,0.0313853049125194,1.0,0.01324200913242009,0.0,0.08431198490954293,10.0,0.04708246738266115,0.0,0.510789514221139,117.45751702623303,-0.9723467066706818,-23.23047625907763,6.8543312117163,8,shib,4.58257569495584,0.10000003637978905,,,,,,,,
CMO,CMO > 0 = Long,0.0,single_param,584,4,0.0,-0.1999918520596021,-7.442279197229561,0.9793256367834032,0.0,-0.025684931506849314,-5.0,0.3577486445415976,0.0,-0.003769218934370141,-0.19111106826380386,0.02004170090160796,0.19111106826380386,0.0037601862682285652,0.0,0.02001604309991317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8692177966985929,-23.33826064530825,4.203538384420684,8,bonk,0.0,0.0,,,,,,,,
MFI,MFI > 50 = Long,50.0,single_param,584,4,4.58257569495584,-3.06467798198845,-10.196088621689732,2.837236530479282,5.0,-2.4561841788051164,-5.0,2.564884546884143,0.10000003637978905,-0.11311006746650265,-0.3190476135411542,0.09177305867213915,0.3190476135411543,0.14380626701496196,0.0,0.09736206671998156,1.0,0.2286713144161774,0.0,0.20328578369743913,10.0,0.5027820585222326,0.0,1.2944407195968983,229.70205962735602,-11.45285670225376,-23.456266763168323,13.558273274001717,5,shib,4.58257569495584,0.10000003637978905,,,,,,,,
WILLR,WILLR > -50 = Long,-50.0,single_param,584,4,0.2951897520716116,-1.6419564717427002,-8.565586267970968,2.5577994039346446,0.0,-0.5093487368829832,-5.0,1.4159654494174867,0.0,-0.04168167473632969,-0.3325119956783782,0.07658072187049111,0.3325119956783782,0.0441047191269352,0.0,0.07689128140305115,0.5,0.015402804957599478,0.0,0.06547156393665969,1.1000000363797895,0.039078534310095225,0.0,0.16335834547482797,2.10000076397558,-6.485018787054265,-23.821600502098157,9.659623065303776,16,shib,0.2951897520716116,0.0,,,,,,,,
DI,+DI > -DI = Long,0.0,matrix,67501,4,0.0,-0.013800147834936036,-0.34792878133781946,0.05682857532571938,0.0,-0.013317004051388696,-1.7817579797961165,0.10096214789667081,0.0,-0.00526648023921036,-0.26530609062992294,0.023240108908261944,0.26530609062992294,0.006958806460512435,0.0,0.02731222532886634,0.25,0.0025653940929270184,0.0,0.017296819722725034,1.1000000363797895,0.02136638203234244,0.0,0.138505024351703,0.0,-0.05631230420029542,-1.0910706746784287,0.22561367451882175,"+DI:1, -DI:1",pepe,0.0,0.0,1.0,1.0,,,,,,
MACD,MACD > Signal = Long,0.0,matrix,49464,4,0.0,-0.04786792749170382,-0.41322983032971655,0.1027248826778103,0.0,-0.0974746227681796,-2.40535255462455,0.34173737549631633,0.0,-0.03504104436957162,-0.3325119956783782,0.07841065436893598,0.3325119956783782,0.036965635251342506,0.0,0.08074393033247175,0.25,0.010067928190198932,0.0,0.03626620989323148,0.7174219547816,0.03342492280205961,0.0,0.11702688052466874,0.0,-0.1808253955523035,-1.0,0.3754426944834775,"Fast:8, Slow:160",doge,0.0,0.0,,,8.0,160.0,,,,
