mfi_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
20,2.2913,2.6458,4,0.0243,0.0364,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,0.0,0.0,1.6422500000000002,MFI,single
25,0.3079,3.792,4,-0.0002,0.0691,0.0292,0.0429,1.5958,2.3613,0.3333,0.4714,2.8687,4.8047,-2.2133,13.7713,0.76523,MFI,single
21,0.0,3.7417,4,-0.0216,0.0463,0.0227,0.0455,1.25,2.5,0.25,0.5,2.5,5.0,-5.25,10.5,0.56614,MFI,single
14,-0.082,5.0568,4,-0.0504,0.1437,0.0867,0.1006,1.25,4.7871,0.4583,0.4167,3.9218,4.7543,46.9447,122.2383,0.52298,MFI,single
44,0.9887,1.9775,4,0.0101,0.0202,0.0,0.0,0.0,0.0,0.125,0.25,2.0619,4.1238,0.0,0.0,0.49863,MFI,single
45,0.4015,0.803,4,0.0045,0.0091,0.0064,0.0129,0.4516,0.9032,0.125,0.25,0.4051,0.8101,3.9654,7.9309,0.45555,MFI,single
97,-0.6484,4.8585,4,-0.0286,0.1142,0.0556,0.1113,0.0,4.0825,0.3125,0.4732,2.565,4.9582,-4.7744,9.5488,-0.011359999999999981,MFI,single
46,-0.3863,0.7725,4,-0.0059,0.0118,0.0154,0.0307,-0.498,0.996,0.05,0.1,0.1694,0.3388,-1.876,3.752,-0.06955000000000003,MFI,single
104,0.0786,2.3932,4,0.0052,0.0547,0.0673,0.0485,-0.9605,1.9211,0.375,0.2846,0.9729,0.948,4.3986,15.2082,-0.07699000000000003,MFI,single
13,-0.9783,4.2223,4,-0.0872,0.107,0.1024,0.1286,0.0,4.0825,0.35,0.4726,2.6067,4.933,-9.3065,10.9215,-0.13140999999999997,MFI,single
